66436, CADUET , CADUET, NOT FOUND, CPR REVEST 10 MG x 10 (/10), PFZ
66434, CADUET , CADUET, NOT FOUND, CPR REVEST 10 MG x 10 (/5), PFZ
66440, CADUET , CADUET, NOT FOUND, CPR REVEST 10 MG x 30 (/10), PFZ
66438, CADUET , CADUET, NOT FOUND, CPR REVEST 10 MG x 30 (/5), PFZ
66441, CADUET , CADUET, NOT FOUND, CPR REVEST 20 MG x 30 (/10), PFZ
66439, CADUET , CADUET, NOT FOUND, CPR REVEST 20 MG x 30 (/5), PFZ
53030, CAMPTOSAR , CAMPTOSAR, NOT FOUND, F.IV INFUSAO 100 MG 5 ML x 1, PFZ
60283, CAMPTOSAR , CAMPTOSAR, NOT FOUND, F.IV INFUSAO 40 MG 2 ML x 1, PFZ
55968, CARDURAN , CARDURAN, NOT FOUND, CPR XL 4 MG x 20, PFZ
71980, CARDURAN , CARDURAN, NOT FOUND, CPR XL 4 MG x 30, PFZ
50734, CARTRAX , CARTRAX, NOT FOUND, CR.VAG.7 APL 35 G x 1, PFZ
52183, CAVERJECT , CAVERJECT, NOT FOUND, F.AMP LIOF 10 Y 1 ML x 1, PFZ
52184, CAVERJECT , CAVERJECT, NOT FOUND, F.AMP LIOF 20 Y 1 ML x 1, PFZ
54578, CELEBRA , CELEBRA, NOT FOUND, CAPS 100 MG x 20, PFZ
54579, CELEBRA , CELEBRA, NOT FOUND, CAPS 200 MG x 10, PFZ
77369, CELEBRA , CELEBRA, NOT FOUND, CAPS 200 MG x 15, PFZ
56803, CELEBRA , CELEBRA, NOT FOUND, CAPS 200 MG x 30, PFZ
75474, CELEBRA , CELEBRA, NOT FOUND, CAPS 200 MG x 4, PFZ
71871, CHAMPIX , CHAMPIX, NOT FOUND, CPR REV K/IT 0.50 MG x 53 (/1), PFZ
71870, CHAMPIX , CHAMPIX, NOT FOUND, CPR REV K/MT 1 MG x 112, PFZ
71872, CHAMPIX , CHAMPIX, NOT FOUND, CPR REV K/TC 0.50 MG x 165 (/1), PFZ
71873, CHAMPIX , CHAMPIX, NOT FOUND, CPR REV K/TR 1 MG x 168, PFZ
73636, CHAMPIX , CHAMPIX, NOT FOUND, CPR REVEST 1 MG x 28, PFZ
87156, CICLOXX , CICLOXX, NOT FOUND, CPR 15 MG x 10, PFZ
87158, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, PFZ
87159, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, PFZ
87161, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, PFZ
87163, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, PFZ
52967, CITALOR , CITALOR, NOT FOUND, CPR REVEST 10 MG x 30, PFZ
95769, CITALOR , CITALOR, NOT FOUND, CPR REVEST 10 MG x 60, PFZ
60100, CITALOR , CITALOR, NOT FOUND, CPR REVEST 20 MG x 30, PFZ
95770, CITALOR , CITALOR, NOT FOUND, CPR REVEST 20 MG x 60, PFZ
77371, CITALOR , CITALOR, NOT FOUND, CPR REVEST 40 MG x 10, PFZ
60404, CITALOR , CITALOR, NOT FOUND, CPR REVEST 40 MG x 30, PFZ
60405, CITALOR , CITALOR, NOT FOUND, CPR REVEST 80 MG x 30, PFZ
51542, CLIMADERM 7 DIAS , CLIMADERM 7 DIAS, NOT FOUND, PARCHE 50 Y x 4, PFZ
