52382, ZALAIN , ZALAIN, NOT FOUND, XAMP 2 % 80 ML x 1, PFZ
51737, ZAVEDOS , ZAVEDOS, NOT FOUND, F.IV SOLV 10 MG x 1, PFZ
51736, ZAVEDOS , ZAVEDOS, NOT FOUND, F.IV SOLV 5 MG x 1, PFZ
59429, ZITROMAX , ZITROMAX, NOT FOUND, A.IV 500 MG x 1, PFZ
112807, ZITROMAX , ZITROMAX, NOT FOUND, A.IV 500 MG x 10, PFZ
49630, ZITROMAX , ZITROMAX, NOT FOUND, CAPS 250 MG x 4, PFZ
51529, ZITROMAX , ZITROMAX, NOT FOUND, CPR REVEST 500 MG x 2, PFZ
51530, ZITROMAX , ZITROMAX, NOT FOUND, CPR REVEST 500 MG x 3, PFZ
49632, ZITROMAX , ZITROMAX, NOT FOUND, PO P/SUSP 600 MG 15 ML x 1, PFZ
49633, ZITROMAX , ZITROMAX, NOT FOUND, PO P/SUSP 900 MG 22.5 ML x 1, PFZ
58894, ZOLOFT , ZOLOFT, NOT FOUND, CPR REVEST 100 MG x 14, PFZ
50131, ZOLOFT , ZOLOFT, NOT FOUND, CPR REVEST 50 MG x 10, PFZ
50132, ZOLOFT , ZOLOFT, NOT FOUND, CPR REVEST 50 MG x 20, PFZ
53011, ZOLOFT , ZOLOFT, NOT FOUND, CPR REVEST 50 MG x 28, PFZ
115857, ZOLPIREST , ZOLPIREST, NOT FOUND, CPR REVEST 10 MG x 10, PFZ
112021, ZOLPIREST , ZOLPIREST, NOT FOUND, CPR REVEST 10 MG x 20, PFZ
47424, ZOLTEC , ZOLTEC, NOT FOUND, CAPS 100 MG x 8, PFZ
47778, ZOLTEC , ZOLTEC, NOT FOUND, CAPS 150 MG x 1, PFZ
51028, ZOLTEC , ZOLTEC, NOT FOUND, CAPS 150 MG x 2, PFZ
47423, ZOLTEC , ZOLTEC, NOT FOUND, CAPS 50 MG x 8, PFZ
54951, ZOLTEC , ZOLTEC, NOT FOUND, INF.VIAF.I.V 2 MG 100 ML x 6 (/ML), PFZ
57214, ZYVOX , ZYVOX, NOT FOUND, CPR REVEST 600 MG x 10, PFZ
57215, ZYVOX , ZYVOX, NOT FOUND, F.IV INFUSAO 2 MG 300 ML x 10 (/ML), PFZ
