49257, SERMION , SERMION, NOT FOUND, CPR REVEST 30 MG x 20, PFZ
42292, SERMION , SERMION, NOT FOUND, DRAG 10 MG x 20, PFZ
55795, SOLU MEDROL , SOLU MEDROL, NOT FOUND, F.AMP 1 G x 1, PFZ
9621, SOLU MEDROL , SOLU MEDROL, NOT FOUND, F.AMP 125 MG 2 ML x 1, PFZ
9620, SOLU MEDROL , SOLU MEDROL, NOT FOUND, F.AMP 40 MG 1 ML x 1, PFZ
9622, SOLU MEDROL , SOLU MEDROL, NOT FOUND, F.AMP 500 MG 8 ML x 1, PFZ
74592, SOMAVERT , SOMAVERT, NOT FOUND, F.AMP C/DILU 10 MG x 30, PFZ
74593, SOMAVERT , SOMAVERT, NOT FOUND, F.AMP C/DILU 15 MG x 30, PFZ
31901, SORCAL , SORCAL, NOT FOUND, POLVO ENVELO 30 G x 60, PFZ
49842, SUPOS GLICERINA , SUPOS GLICERINA, NOT FOUND, SUP AD 2.68 G x 24, PFZ
49906, SUPOS GLICERINA , SUPOS GLICERINA, NOT FOUND, SUP LACT x 24, PFZ
70567, SUTENT , SUTENT, NOT FOUND, CAPS 12.5 MG x 28, PFZ
71292, SUTENT , SUTENT, NOT FOUND, CAPS 25 MG x 28, PFZ
70566, SUTENT , SUTENT, NOT FOUND, CAPS 50 MG x 28, PFZ
