53571, ACCUPRIL , ACCUPRIL, NOT FOUND, CPR REVEST 10 MG x 28, PFZ
53572, ACCUPRIL , ACCUPRIL, NOT FOUND, CPR REVEST 20 MG x 28, PFZ
28379, ADRIBLASTINA , ADRIBLASTINA, NOT FOUND, F.AMP 10 MG x 1, PFZ
29159, ADRIBLASTINA , ADRIBLASTINA, NOT FOUND, F.AMP 50 MG x 1, PFZ
28969, ALDACTONE , ALDACTONE, NOT FOUND, CPR 100 MG x 16, PFZ
322, ALDACTONE , ALDACTONE, NOT FOUND, CPR 25 MG x 20, PFZ
55936, ALDACTONE , ALDACTONE, NOT FOUND, CPR 25 MG x 30, PFZ
55587, ALDACTONE , ALDACTONE, NOT FOUND, CPR 50 MG x 30, PFZ
56663, ALDAZIDA , ALDAZIDA, NOT FOUND, CPR 50 MG x 30, PFZ
721, ANFERTIL , ANFERTIL, NOT FOUND, CPR x 21, PFZ
113648, ANIDULAFUNGINA MG , ANIDULAFUNGINA, ANIDULAFUNGINA, S I PO LI IV 100 MG x 1, PFZ
868, ANUSOL HC , ANUSOL HC, NOT FOUND, POM. 15 G x 1, PFZ
159943, ARACYTIN , ARACYTIN, NOT FOUND, F.AMP 20 MG 5 ML x 5 (/ML), PFZ
903, ARACYTIN , ARACYTIN, NOT FOUND, F.AMP LIOF 100 MG 5 ML x 1, PFZ
55950, ARACYTIN CS , ARACYTIN CS, NOT FOUND, F.AMP 100 MG 5 ML x 1, PFZ
55952, ARACYTIN CS , ARACYTIN CS, NOT FOUND, F.AMP 1000 MG 10 ML x 1, PFZ
55951, ARACYTIN CS , ARACYTIN CS, NOT FOUND, F.AMP 500 MG 25 ML x 1, PFZ
56550, AROMASIN , AROMASIN, NOT FOUND, DRAG 25 MG x 30, PFZ
87154, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, PFZ
87155, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REVEST 20 MG x 30, PFZ
