80752; ECALTA ; ECALTA; NOT FOUND; F.AMP 100 MG x 1; PFZ
76330; ECALTA ; ECALTA; NOT FOUND; F.AMP C/DILU 100 MG 30 ML x 1; PFZ
51350; EFEXOR ; EFEXOR; NOT FOUND; CPR 37.5 MG x 28; PFZ
51352; EFEXOR ; EFEXOR; NOT FOUND; CPR 75 MG x 14; PFZ
54754; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 150 MG x 14; PFZ
92522; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 150 MG x 30; PFZ
76526; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 37.5 MG x 14; PFZ
92523; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 37.5 MG x 30; PFZ
70382; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 37.5 MG x 7; PFZ
54753; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 75 MG x 14; PFZ
92525; EFEXOR XR ; EFEXOR XR; NOT FOUND; CAPS L.P. 75 MG x 30; PFZ
62255; ENBREL ; ENBREL; NOT FOUND; CART 2+2 25 MG 1 ML x 4; PFZ
71083; ENBREL ; ENBREL; NOT FOUND; CART 2+2 50 MG 1 ML x 4; PFZ
163175; ENBREL ; ENBREL; NOT FOUND; S P PEN 4L 50 MG 1 ML x 4; PFZ
113123; ENBREL ; ENBREL; NOT FOUND; S P PEN 8L 50 MG 1 ML x 4; PFZ
125168; ENBREL ; ENBREL; NOT FOUND; SE PR PFS 50 MG 1 ML x 4; PFZ
85527; ENBREL ; ENBREL; NOT FOUND; SER PRE PFS 50 MG 1 ML x 4; PFZ
3913; EPELIN ; EPELIN; NOT FOUND; CAPS 100 MG x 30; PFZ
3916; EPELIN ; EPELIN; NOT FOUND; LIQD 120 ML x 1; PFZ
66153; EPILEPTIL ; EPILEPTIL; NOT FOUND; CPR 2 MG x 20; PFZ
57422; ERANZ ; ERANZ; NOT FOUND; CPR REVEST 10 MG x 28; PFZ
57421; ERANZ ; ERANZ; NOT FOUND; CPR REVEST 5 MG x 28; PFZ
54188; EUNADES CS ; EUNADES CS; NOT FOUND; F.AMP 100 MG 5 ML x 10; PFZ
4188; EVANOR ; EVANOR; NOT FOUND; CPR x 21; PFZ
4189; EVANOR ; EVANOR; NOT FOUND; CPR x 21 X3; PFZ
