53032; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 150 MG 15 ML x 1; PFZ
53033; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 450 MG 45 ML x 1; PFZ
53031; PLATAMINE CS ; PLATAMINE CS; NOT FOUND; F.AMP 50 MG 5 ML x 1; PFZ
113083; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 10 MG 10 ML x 1; PFZ
55981; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 10 MG 10 ML x 5; PFZ
55983; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 100 MG 100 ML x 1; PFZ
55982; PLATISTINE CS ; PLATISTINE CS; NOT FOUND; F.AMP LIOF 50 MG 50 ML x 1; PFZ
28131; PLETIL ; PLETIL; NOT FOUND; CPR 500 MG x 4; PFZ
29287; PLETIL ; PLETIL; NOT FOUND; CPR 500 MG x 8; PFZ
30540; PONSTAN ; PONSTAN; NOT FOUND; CPR 500 MG x 24; PFZ
30723; POSTOVAL ; POSTOVAL; NOT FOUND; DRAG x 21; PFZ
92397; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 10; PFZ
92398; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 30; PFZ
92399; PRAXETINA ; PRAXETINA; NOT FOUND; CPR REVEST 20 MG x 60; PFZ
70444; PREMARIN ; PREMARIN; NOT FOUND; CREME VAG. 0.625 MG 26 G x 1 (/G); PFZ
49619; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.30 MG x 28; PFZ
49616; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.625 MG x 21; PFZ
49617; PREMARIN ; PREMARIN; NOT FOUND; DRAG 0.625 MG x 28; PFZ
49618; PREMARIN ; PREMARIN; NOT FOUND; DRAG 1.25 MG x 28; PFZ
51973; PREMELLE ; PREMELLE; NOT FOUND; DRAG x 28; PFZ
75426; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 100 MG x 14; PFZ
85928; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 100 MG x 28; PFZ
75424; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 14; PFZ
75425; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 28; PFZ
76996; PRISTIQ ; PRISTIQ; NOT FOUND; CPR REV LC 50 MG x 7; PFZ
55300; PROLIFT ; PROLIFT; NOT FOUND; CPR BLISTER 4 MG x 20; PFZ
8717; PROPIL ; PROPIL; NOT FOUND; CPR 100 MG x 30; PFZ
55783; PROTANOL ; PROTANOL; NOT FOUND; CPR 25 MG x 20; PFZ
55672; PROVERA ; PROVERA; NOT FOUND; CPR 10 MG x 14; PFZ
57796; PROVERA ; PROVERA; NOT FOUND; CPR 2.50 MG x 14; PFZ
57797; PROVERA ; PROVERA; NOT FOUND; CPR 5 MG x 14; PFZ
75214; PROZEN ; PROZEN; NOT FOUND; CAPS 20 MG x 100; PFZ
55184; PROZEN ; PROZEN; NOT FOUND; CAPS 20 MG x 28; PFZ
87160; PROZEN ; PROZEN; NOT FOUND; GOTAS 20 MG 20 ML x 1 (/ML); PFZ
