90808; D.S. ; D S; NOT FOUND; EMULSAO T 40 ML x 1; CT6
90792; D.S. ; D S; NOT FOUND; GEL NETTOY T 150 ML x 1; CT6
74263; DANTROLEN ; DANTROLEN; NOT FOUND; F.AMP LIOF 20 MG x 12; CT6
89063; DEPIDERM ; DEPIDERM; NOT FOUND; SOL FPS 50 30 ML x 1; CT6
89064; DEPIDERM ; DEPIDERM; NOT FOUND; SOL INTENSIV 30 ML x 1; CT6
67271; DEPIDERM ; DEPIDERM; NOT FOUND; SOLN TOP. 30 ML x 1; CT6
58390; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 120 ML x 1 (/ML); CT6
59764; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); CT6
53668; DIFENIDRIN ; DIFENIDRIN; NOT FOUND; AMP. 50 MG 1 ML x 25 (/ML); CT6
53670; DIMORF ; DIMORF; NOT FOUND; AMP. 0.10 MG 2 ML x 50 (/ML); CT6
53669; DIMORF ; DIMORF; NOT FOUND; AMP. 0.20 MG 1 ML x 50 (/ML); CT6
61472; DIMORF ; DIMORF; NOT FOUND; AMP. 10 MG 1 ML x 5 (/ML); CT6
52870; DIMORF ; DIMORF; NOT FOUND; AMP. 10 MG 1 ML x 50 (/ML); CT6
47543; DIMORF ; DIMORF; NOT FOUND; CPR 10 MG x 50; CT6
47439; DIMORF ; DIMORF; NOT FOUND; CPR 30 MG x 50; CT6
53671; DIMORF ; DIMORF; NOT FOUND; SOLN ORAL 10 MG 60 ML x 1; CT6
53674; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 100 MG x 60; CT6
53672; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 30 MG x 60; CT6
53673; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 60 MG x 60; CT6
53678; DOLOSAL ; DOLOSAL; NOT FOUND; AMP. 50 MG 2 ML x 25 (/ML); CT6
49795; DOLOSAL ; DOLOSAL; NOT FOUND; AMP. 50 MG 2 ML x 50 (/ML); CT6
59647; DOPACRIS ; DOPACRIS; NOT FOUND; AMP. 5 MG 10 ML x 50 (/ML); CT6
53680; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 15 MG 3 ML x 5; CT6
53679; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 5 MG 5 ML x 5; CT6
53681; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 50 MG 10 ML x 5; CT6
78937; DORMIRE ; DORMIRE; NOT FOUND; AMP. 1 MG 5 ML x 50 (/ML); CT6
95604; DORMIRE ; DORMIRE; NOT FOUND; AMP. 5 MG 10 ML x 50 (/ML); CT6
53682; DORMIRE ; DORMIRE; NOT FOUND; CPR 15 MG x 20; CT6
61487; DORMIRE ; DORMIRE; NOT FOUND; SOLN ORAL 2 MG 10 ML x 12 (/ML); CT6
