533011603117418, UNI AMOX, UNI AMOX, NOT FOUND, CAP GEL DURA CT 3 BL AL PLAS X 7 500MG, U_Q
533011604113416, UNI AMOX, UNI AMOX, NOT FOUND, CAP GEL DURA CT BL AL PLAS X 15 500MG, U_Q
533011601130417, UNI AMOX, UNI AMOX, NOT FOUND, PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML 250MG/5ML, U_Q
533011605136411, UNI AMOX, UNI AMOX, NOT FOUND, PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML 500MG/5ML, U_Q
533011602137415, UNI AMOX, UNI AMOX, NOT FOUND, PO PREP EXTEMP SUS OR CT FR VD AMB X 60 ML 250MG/5ML, U_Q
533011703111411, UNI AMPICILIN, UNI AMPICILIN, NOT FOUND, CAP GEL DURA CT FR VD AMB X 12 500MG, U_Q
533011702158414, UNI AMPICILIN, UNI AMPICILIN, NOT FOUND, CX. C/ 50 FA + 50 AMP DIL X 5 ML 500MG, U_Q
533011701151416, UNI AMPICILIN, UNI AMPICILIN, NOT FOUND, PO LIOF INJ CT 50 FA + 50 AMP DIL X 5 ML 100MG, U_Q
533011705130413, UNI AMPICILIN, UNI AMPICILIN, NOT FOUND, PO SUS OR CT FR VD AMB X 60 ML 50MG/ML, U_Q
533011801113419, UNI BROMAZEPAX, UNI BROMAZEPAX, NOT FOUND, CX. C/ 20 COMP 3MG, U_Q
533011802111411, UNI BROMAZEPAX, UNI BROMAZEPAX, NOT FOUND, CX. C/ 20 COMP 6MG, U_Q
533011901118412, UNI CARBAMAZ, UNI CARBAMAZ, NOT FOUND, CX. C/ 200 COMP, U_Q
533011902130416, UNI CARBAMAZ, UNI CARBAMAZ, NOT FOUND, FR. C/ 100 ML 2%, U_Q
533012001137419, UNI CEFALEXIN, UNI CEFALEXIN, NOT FOUND, 250MG/5ML PO PREP EXTEMP SUS OR CT FR VD AMB X 100 ML, U_Q
533012002117411, UNI CEFALEXIN, UNI CEFALEXIN, NOT FOUND, 500MG CX. C/ 10 CAPS, U_Q
533012101115417, UNI CLONAZEPAX, UNI CLONAZEPAX, NOT FOUND, 0.5MG COM CT BL AL PLAS INC X 20, U_Q
