533014090060903; TANDRIFLAN; TANDRIFLAN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100 ; U_Q
533012120058603; TANDRIFLAN; TANDRIFLAN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 15; U_Q
533010401111410; TANDRIFLAM; TANDRIFLAM; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CX CT BL AL PLAS INC X 30 ; U_Q
533011201159418; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT FA VD INC + DIL X 3.5 ML; U_Q
533011202155416; TRIOXINA; TRIOXINA; NOT FOUND; 1 G IM PO INJ CT 50 FA VD INC + 50 DIL X 3.5 ML (EMB HOSP); U_Q
533011301153411; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT FA VD INC + DIL X 10 ML; U_Q
533011302151412; TRIOXINA; TRIOXINA; NOT FOUND; 1 G PO INJ CT 50 FA VD INC; U_Q
533025501117419; TERTOP; TERTOP; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 14; U_Q
533025502113417; TERTOP; TERTOP; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 28; U_Q
533010901165412; TOBRACORT; TOBRACORT; NOT FOUND; 3 MG/G + 1 MG/G POM OFT CT BG AL X 3.5 G; U_Q
533010902171416; TOBRACORT; TOBRACORT; NOT FOUND; 3 MG/ML + 1 MG/ML SUS OFT CT FR PLAS OPC X 5 ML; U_Q
533010701131425; TERMOL; TERMOL; NOT FOUND; 200MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML.; U_Q
533010702111428; TERMOL; TERMOL; NOT FOUND; 750MG COM CT BL AL PLAS INC X 200; U_Q
533018801161410; TOPCOID; TOPCOID; NOT FOUND; 5MG/G GEL CT BG AL X 40 G ; U_Q
533010601153419; TERBUTIL; TERBUTIL; NOT FOUND; 0.5 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; U_Q
533010602151411; TERBUTIL; TERBUTIL; NOT FOUND; 0.5 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML; U_Q
533024402158410; TEIPLAN; TEIPLAN; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC + SOL DIL X 3 ML; U_Q
533024401151412; TEIPLAN; TEIPLAN; NOT FOUND; 400 MG PO LIOF INJ CT FA VD INC + SOL DIL X 3 ML; U_Q
533010501116414; TEFLAN; TEFLAN; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 10; U_Q
533012100056703; TEFLAN; TEFLAN; NOT FOUND; 20 MG COM  REV CT BL AL PLAS INC X 5; U_Q
533010502155413; TEFLAN; TEFLAN; NOT FOUND; 20 MG PO LIOF SOL INJ CT FA VD INC ; U_Q
533010503151411; TEFLAN; TEFLAN; NOT FOUND; 20 MG PO LIOF SOL INJ CT 50 FA VD INC ; U_Q
533010505154418; TEFLAN; TEFLAN; NOT FOUND; 40 MG PO LIOF SOL INJ CT 5 FA VD INC + 5 AMP DIL X 2 ML; U_Q
533010506150416; TEFLAN; TEFLAN; NOT FOUND; 40 MG PO LIOF SOL INJ CT 50 FA VD INC; U_Q
533010801111418; TINORAL; TINORAL; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 4; U_Q
533022802167410; TOPTRAT; TOPTRAT; NOT FOUND; 1% LOC DERM CT FR PLAS OPC X 30 G; U_Q
533022801179415; TOPTRAT; TOPTRAT; NOT FOUND; 28% SOL TOP P / UNHAS CT FR VD AMB X 12 ML; U_Q
533022803171411; TOPTRAT; TOPTRAT; NOT FOUND; 28 % SOL TOP P/ UNHAS CT FR VD AMB X 24 ML; U_Q
533011001168413; TOBRANOM; TOBRANOM; NOT FOUND; 3 MG/G POM OFT CT BG AL X 3.5 G; U_Q
533011002172414; TOBRANOM; TOBRANOM; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC X 5 ML; U_Q
533011501179414; TROPINOM; TROPINOM; NOT FOUND; 10 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; U_Q
