533009501116410; PROSTMAN; PROSTMAN; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; U_Q
533022701158416; PREDI-MEDROL; PREDI MEDROL; NOT FOUND; 40 MG / ML SUS INJ CT FA VD INC X 2 ML; U_Q
533009201163413; POLIDERMS; POLIDERMS; NOT FOUND; (0.5+1+10+10) MG/G CREM DERM CT BG AL X 20 G; U_Q
533019401114413; PROPARK; PROPARK; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 75; U_Q
533013040059413; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; U_Q
533013040059503; PERFENOL; PERFENOL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS TRANS X 200 (EMB MULT); U_Q
533018601111411; PAXTRAT; PAXTRAT; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; U_Q
533018602116415; PAXTRAT; PAXTRAT; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; U_Q
533009401111417; PROHAIR; PROHAIR; NOT FOUND; 1 MG COM REV CT BL AL PLAS TRANS X 30; U_Q
533013040059304; PILEM; PILEM; NOT FOUND; 0.75 MG CT BL AL PLAS INC X 2 ; U_Q
533018103136119; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; U_Q
533018101117117; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20 ; U_Q
533018102113123; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 200; U_Q
533022501116116; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; U_Q
533022508110113; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 120 (EMB FRAC); U_Q
533022502112114; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 20; U_Q
533022503119112; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
533022507114115; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 240 (EMB FRAC); U_Q
533022509117111; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); U_Q
533022504115110; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 10; U_Q
533022511111117; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 120 (EMB FRAC); U_Q
533022505111119; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20; U_Q
533022506118117; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); U_Q
533022510115119; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 240 (EMB FRAC); U_Q
533022512118115; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 60 (EMB FRAC); U_Q
