533019201115416; VITA ANTI-OX; VITA ANTI OX; NOT FOUND; COM REV CT FR PLAS OPC X 30; U_Q
533020901133410; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR PLAS OPC X 120 ML C/DOSAD; U_Q
533020904132415; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR VD AMB X 120 ML C/DOSAD; U_Q
533020902131411; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR PLAS OPC X 200 ML C/DOSAD; U_Q
533020903136417; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR VD AMB X 200 ML C/DOSAD; U_Q
533020905139413; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR VD AMB X 240 ML C/DOSAD; U_Q
533020906135411; VITA JR; VITA JR; NOT FOUND; SOL OR CT FR PLAS OPC X 240 ML C/DOSAD; U_Q
533015301158416; VIXMICINA; VIXMICINA; NOT FOUND; 1 G PO INJ CX 50 FA VD INC + 50 AMP DIL; U_Q
533014901178411; VISIONOM; VISIONOM; NOT FOUND; 0.1 MG/ML + 17 MG/ML SOL OFT CT FR PLAS TRANS X 10 ML; U_Q
533014501153411; VANCOTRAT; VANCOTRAT; NOT FOUND; 500 MG PO LIOF CT FA VD INC; U_Q
533015001154415; VITA K; VITA K; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML; U_Q
533015401160412; VODOL; VODOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 28 G; U_Q
533015402175413; VODOL; VODOL; NOT FOUND; 20 MG/G PO TOP CT FR PLAS OPC X 30 G ; U_Q
533013050059703; VODOL; VODOL; NOT FOUND; 20 MG / G AER CT TB AL X 75G; U_Q
533015403171411; VODOL; VODOL; NOT FOUND; 20 MG/ML LOCAO CT FR VD AMB X 30 ML; U_Q
533015404161411; VODOL; VODOL; NOT FOUND; 20 MG/ML LOCAO CT FR PLAS OPC SPRAY X 30 ML; U_Q
533015405166415; VODOL; VODOL; NOT FOUND; 20 MG/ML SUSP TOP CT FR PLAS OPC SPRAY X 60 ML; U_Q
533014602154411; VASCER; VASCER; NOT FOUND; 20 MG/ ML SOL INJ CT 50 AMP VD AMB X 5 ML; U_Q
533014601115412; VASCER; VASCER; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; U_Q
533015204111419; VIVERDAL; VIVERDAL; NOT FOUND; 1 MG COM REV CT BL AL PLAS INC X 30; U_Q
533013090060004; VIVERDAL; VIVERDAL; NOT FOUND; 1 MG/ML SOL OR CT FR PLAS AMB X 30 ML + SER DOS; U_Q
533015202117411; VIVERDAL; VIVERDAL; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 20; U_Q
533015205116414; VIVERDAL; VIVERDAL; NOT FOUND; 2 MG COM REV CT BL AL PLAS INC X 30; U_Q
533015206112412; VIVERDAL; VIVERDAL; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 30; U_Q
533020401114115; VARFARINA SÓDICA; VARFARINA SODICA; VARFARINA SODICA; 5 MG COM CT STR AL X 10; U_Q
533020402110113; VARFARINA SÓDICA; VARFARINA SODICA; VARFARINA SODICA; 5 MG COM CT STR AL X 100 (EMB HOSP); U_Q
533020403117111; VARFARINA SÓDICA; VARFARINA SODICA; VARFARINA SODICA; 5 MG COM CT STR AL X 200 (EMB HOSP); U_Q
533020404113111; VARFARINA SÓDICA; VARFARINA SODICA; VARFARINA SODICA; 5 MG COM CT STR AL X 30; U_Q
533020405111110; VARFARINA SÓDICA; VARFARINA SODICA; VARFARINA SODICA; 5 MG COM CT STR AL X 500 (EMB HOSP); U_Q
