533006801135114, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, SOL OR FR X 20 ML, U_Q
533006901172410, HEBRIN, HEBRIN, NOT FOUND, SOL TOP CT FR VD AMB X 30ML, U_Q
533020701169411, HERPEX, HERPEX, NOT FOUND, 10MG/G GEL CT BG AL X 10G, U_Q
533007002112413, HISTADIN, HISTADIN, NOT FOUND, 10MG COM CT BL AL PLAS INC X 12, U_Q
533007001132410, HISTADIN, HISTADIN, NOT FOUND, 1MG/ML XPE CT FR VD AMB X 100 ML, U_Q
533007003135417, HISTADIN, HISTADIN, NOT FOUND, D 1/12 MG/ML XPE CT FR VD AMB X 60 ML, U_Q
533007004115411, HISTADIN, HISTADIN, NOT FOUND, D 5/120 MG DRG DESINT CALC CT BL AL PLAS INC X 12, U_Q
533007101137414, HYTOS PLUS, HYTOS PLUS, NOT FOUND, 48MG/ML + 9MG/ML SOL OR CT FR PLAS GOT X 15ML, U_Q
533007102133412, HYTOS PLUS, HYTOS PLUS, NOT FOUND, 4MG/ML + 0.75MG/ML XPE CT FR VD AMB X 100ML, U_Q
533006801135114, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, SOL OR FR X 20 ML, U_Q
533006901172410, HEBRIN, HEBRIN, NOT FOUND, SOL TOP CT FR VD AMB X 30ML, U_Q
533020701169411, HERPEX, HERPEX, NOT FOUND, 10MG/G GEL CT BG AL X 10G, U_Q
533007002112413, HISTADIN, HISTADIN, NOT FOUND, 10MG COM CT BL AL PLAS INC X 12, U_Q
533007001132410, HISTADIN, HISTADIN, NOT FOUND, 1MG/ML XPE CT FR VD AMB X 100 ML, U_Q
533007003135417, HISTADIN, HISTADIN, NOT FOUND, D 1/12 MG/ML XPE CT FR VD AMB X 60 ML, U_Q
533007004115411, HISTADIN, HISTADIN, NOT FOUND, D 5/120 MG DRG DESINT CALC CT BL AL PLAS INC X 12, U_Q
533007101137414, HYTOS PLUS, HYTOS PLUS, NOT FOUND, 48MG/ML + 9MG/ML SOL OR CT FR PLAS GOT X 15ML, U_Q
533007102133412, HYTOS PLUS, HYTOS PLUS, NOT FOUND, 4MG/ML + 0.75MG/ML XPE CT FR VD AMB X 100ML, U_Q
533006801135114, HALOPERIDOL, HALOPERIDOL, HALOPERIDOL, SOL OR FR X 20 ML, U_Q
533006901172410, HEBRIN, HEBRIN, NOT FOUND, SOL TOP CT FR VD AMB X 30ML, U_Q
533020701169411, HERPEX, HERPEX, NOT FOUND, 10MG/G GEL CT BG AL X 10G, U_Q
