533013020059006, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR PET AMB X 120 ML + COP, U_Q
533020001132116, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD, U_Q
533024801168118, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/ G CREM DERM CT BG AL X 10 G , U_Q
533024802164116, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/ G CREM DERM CX 50 BG AL X 10 G (EMB HOSP), U_Q
533024901162111, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/ G CREM DERM CT BG AL X 20 G, U_Q
533019304151113, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 10% SOL INJ CT 5 AMP VD AMB X 3 ML, U_Q
533019302132111, ACETILCISTEÍNA, ACETILCISTEINA, ACETILCISTEINA, 20 MG/ML XPE CT FR VD AMB X 120 ML, U_Q
533020301160115, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM CT BG AL X 10 G , U_Q
533020302167113, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM CX 100 BG AL X 10 G (EMB HOSP), U_Q
533020303163111, ACICLOVIR, ACICLOVIR, ACICLOVIR, 50 MG/G CREM CX 50 BG AL X 10 G , U_Q
533017501138113, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50MG/ML  PO P/ SUS OR CT FR VD AMB X 150 ML + COP X 15 ML, U_Q
533017502134111, AMOXICILINA, AMOXICILINA, AMOXICILINA, 100 MG/ML  PO P/ SUS OR CT FR VD AMB X 150 ML + COP X 15 ML, U_Q
533017505117110, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 15 , U_Q
533017503114114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, U_Q
533017504110112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, U_Q
533000501172414, ARES, ARES, NOT FOUND, 0.25 MG/ML SOL INAL CT FR VD AMB X 20 ML , U_Q
533000604151411, ARTRINID, ARTRINID, NOT FOUND, 100 MG PO LIOF IV CT 50 FA VD INC (EMB HOSP), U_Q
533000601118411, ARTRINID, ARTRINID, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 24, U_Q
533000602157410, ARTRINID, ARTRINID, NOT FOUND, 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML (EMB HOSP) , U_Q
533000603153419, ARTRINID, ARTRINID, NOT FOUND, 50 MG/ML SOL INJ IM CT 6 AMP VD AMB X 2 ML (EMB HOSP), U_Q
533000302110419, ANALGEX C, ANALGEX C, NOT FOUND, 500 MG COM CX BL AL PLAS INC X 200, U_Q
533000401178410, ANDRIODERMOL, ANDRIODERMOL, NOT FOUND, PO TOP CT TB X 50 G, U_Q
533000402174419, ANDRIODERMOL, ANDRIODERMOL, NOT FOUND, SOL TOP CT FR VD AMB X 50 ML, U_Q
533000701139410, AZIRAM, AZIRAM, NOT FOUND, 61.95 MG/ML SUS OR CT FR VD AMB X 150 ML, U_Q
533000101174411, A CURITYBINA, A CURITYBINA, NOT FOUND, 0.1 G/ML SOL TOP CT FR VD AMB X 05 ML, U_Q
533000102162415, A CURITYBINA, A CURITYBINA, NOT FOUND, 0.28 G/G PAS CT 12 PTS X 13 G, U_Q
