533006503118416, GAVIZ, GAVIZ, NOT FOUND, 160 MG + 50 MG COM MAST DISP 20 STR X 4 (HORTELA), U_Q
533006504114414, GAVIZ, GAVIZ, NOT FOUND, 160 MG + 50 MG COM MAST DISP 20 STR X 4 (MORANGO), U_Q
533006501131415, GAVIZ, GAVIZ, NOT FOUND, 40 MG/ML + 40 MG/ML SUS OR CT FR VD INC X 240 ML(HORTELA), U_Q
533006502138413, GAVIZ, GAVIZ, NOT FOUND, 40 MG/ML + 40 MG/ML SUS OR CT FR VD INC X 240 ML(MORANGO), U_Q
533012120058703, GELUSIL, GELUSIL, NOT FOUND, 170 MG/ML + 70 MG/ML + 6 MG/ML SUS OR CT FR PLAST OPC X 240 ML (SABOR TRADICIONAL), U_Q
533020601131412, GELUSIL, GELUSIL, NOT FOUND, 170 MG/ML + 70 MG/ML + 6 MG/ML SUS OR CT FR PLAST OPC X 240 ML (SABOR MORANGO), U_Q
533024001171416, GENONDEXA, GENONDEXA, NOT FOUND, (1 +3.5) MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533025201156419, GANCICLOTRAT, GANCICLOTRAT, NOT FOUND, 500 MG PO LIOF CT FA VD INC + DIL X 10 ML, U_Q
533006702171414, GLAUCOTRAT, GLAUCOTRAT, NOT FOUND, 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML, U_Q
533006601179411, GENOXACIN, GENOXACIN, NOT FOUND, 3 MG/ML SOL OFT CT FR PLAS OPC X 5 ML, U_Q
533012120057804, GELO-BIO, GELO BIO, NOT FOUND, 0.044 ML/G POM DERM CT BG AL X 20 G , U_Q
533012120057604, GELO-BIO, GELO BIO, NOT FOUND, SOL PROP CT TB AL X 150 ML, U_Q
533012120057704, GELO-BIO, GELO BIO, NOT FOUND, SOL PROP CT TB AL X 60 ML, U_Q
533024503175418, GLAUB, GLAUB, NOT FOUND, 2 MG/ML SOL OFT CT FR PLAS OPC X 10 ML, U_Q
533024502179411, GLAUB, GLAUB, NOT FOUND, 2 MG/ML SOL OFT CT FR PLAS OPC X 15 ML, U_Q
533024501172411, GLAUB, GLAUB, NOT FOUND, 2 MG/ML SOL OFT CT FR PLAS OPC X 5 ML, U_Q
