533005401133418, ECOS, ECOS, NOT FOUND, XPE CT FR X 120 ML, U_Q
533005501111416, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.125MG DRG CX 25 BL AL PLAS INC X 20, U_Q
533005502150415, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.2MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, U_Q
533005601159410, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 4MG/ML + 500MG/ML SOL INJ CT 50 AMP VD AMB X 5ML, U_Q
533005602139413, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 6.67MG/ML + 333.33MG/ML SOL OR CT FR X 10 ML, U_Q
533005603119416, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, DRG CT ENV AL POLIET X 20, U_Q
533005701153414, ETILEFRIL, ETILEFRIL, NOT FOUND, 10 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML, U_Q
533005401133418, ECOS, ECOS, NOT FOUND, XPE CT FR X 120 ML, U_Q
533005501111416, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.125MG DRG CX 25 BL AL PLAS INC X 20, U_Q
533005502150415, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.2MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, U_Q
533005601159410, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 4MG/ML + 500MG/ML SOL INJ CT 50 AMP VD AMB X 5ML, U_Q
533005602139413, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 6.67MG/ML + 333.33MG/ML SOL OR CT FR X 10 ML, U_Q
533005603119416, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, DRG CT ENV AL POLIET X 20, U_Q
533005701153414, ETILEFRIL, ETILEFRIL, NOT FOUND, 10 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML, U_Q
533005401133418, ECOS, ECOS, NOT FOUND, XPE CT FR X 120 ML, U_Q
533005501111416, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.125MG DRG CX 25 BL AL PLAS INC X 20, U_Q
533005502150415, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.2MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, U_Q
533005601159410, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 4MG/ML + 500MG/ML SOL INJ CT 50 AMP VD AMB X 5ML, U_Q
533005602139413, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 6.67MG/ML + 333.33MG/ML SOL OR CT FR X 10 ML, U_Q
533005603119416, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, DRG CT ENV AL POLIET X 20, U_Q
533005701153414, ETILEFRIL, ETILEFRIL, NOT FOUND, 10 MG/ML SOL INJ CT 6 AMP VD AMB X 1 ML, U_Q
533005401133418, ECOS, ECOS, NOT FOUND, XPE CT FR X 120 ML, U_Q
533005501111416, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.125MG DRG CX 25 BL AL PLAS INC X 20, U_Q
533005502150415, ERGOMETRIN, ERGOMETRIN, NOT FOUND, 0.2MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, U_Q
533005601159410, ESPASMODID COMPOSTO, ESPASMODID COMPOSTO, NOT FOUND, 4MG/ML + 500MG/ML SOL INJ CT 50 AMP VD AMB X 5ML, U_Q
