538807001138417; CENEVIT ARG; CENEVIT ARG; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS X 16; LG6
538813101130412; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG / 5 ML XPE CT FR VD AMB X 120 ML - CP MED (EMB HOSP); LG6
538813102110415; CELERG; CELERG; NOT FOUND; 0.25 MG + 2 MG COM CT 2 BL AL PLAS INC X 10; LG6
538812201115417; CLOPIDO-GRAN; CLOPIDO GRAN; NOT FOUND; 75 MG COM REV CT AL AL X 28; LG6
538819301115416; CITAFORIN; CITAFORIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
538809701137118; CITRATO DE ORFENADRINA + DIPIRONA SÓDICA + CAFEÍNA; CITRATO ORFENADRINA DIPIRONA SODICA CAFEINA; NOT FOUND; 35 MG/ML + 300 MG/ML + 50 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
538813110047806; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 16 MG  COM CT BL AL PLAS OPC X 30; LG6
538814010048303; CANSARCOR; CANSARCOR; NOT FOUND; 16 MG COM CT BL AL PLAS OPC X 30; LG6
538813110047706; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG  COM CT BL AL PLAS OPC X 30; LG6
538814010048203; CANSARCOR; CANSARCOR; NOT FOUND; 8 MG COM CT BL AL PLAS OPC X 30; LG6
538814040048606; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
538814040048706; CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
538814040048404; CANSARCOR HCT; CANSARCOR HCT; NOT FOUND; 8 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
538814040048504; CANSARCOR HCT; CANSARCOR HCT; NOT FOUND; 16 MG + 12.5 MG COM CT BL AL PLAS OPC X 30; LG6
538820202117112; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS LEIT X 30; LG6
538820203113110; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS LEIT X 30; LG6
538820201110114; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS LEIT X 30; LG6
538812070042806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 15; LG6
538812070042906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 30; LG6
538812090045003; CARVEGRAN; CARVEGRAN; NOT FOUND; 12.5 MG COM CT BL AL AL X 30; LG6
538812070043006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5MG COM CT AL AL X 60; LG6
538812070043106; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL AL X 30; LG6
538812090045103; CARVEGRAN; CARVEGRAN; NOT FOUND; 25 MG COM CT BL AL AL X 30; LG6
538812070043206; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25MG COM CT BL AL AL X 60; LG6
538812070042406; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 15; LG6
