538814100050106; ESTRADIOL + ACETATO DE NORETISTERONA; ESTRADIOL ACETATO NORETISTERONA; NOT FOUND; 2 MG + 1 MG COM REV CT BL AL PLAS OPC X 28 ; LG6
538818301138418; EXPEC; EXPEC; NOT FOUND; 0.4 MG/ML + 20 MG/ML + 4 MG/ML + 6 MG/ML XPE CT FR VD AMB X 120 ML; LG6
538815301137417; ESPASMO FLATOL; ESPASMO FLATOL; NOT FOUND; 80 MG/ML + 2.5 MG/ML EMU OR CT FR PLAS OPC GOT X 20 ML; LG6
538813010045306; ESOMEPRAZOL; ESOMEPRAZOL; ESOMEPRAZOL; 20 MG COM REV CT BL AL AL X 14; LG6
538813010045406; ESOMEPRAZOL; ESOMEPRAZOL; ESOMEPRAZOL; 20 MG COM REV CT BL AL AL X 28; LG6
538813010045506; ESOMEPRAZOL; ESOMEPRAZOL; ESOMEPRAZOL; 40 MG COM REV CT BL AL AL X 14; LG6
538813010045606; ESOMEPRAZOL; ESOMEPRAZOL; ESOMEPRAZOL; 40 MG COM REV CT BL AL AL X 28; LG6
538817001130413; EXPECTAMIN; EXPECTAMIN; NOT FOUND; 0.4 MG + 4.0 MG + 20.0 MG / ML SOL OR CT FR VD AMB X 120ML; LG6
538814050048804; ESTALOX; ESTALOX; NOT FOUND; 15 MG COM REV CT BL AL PLAS OPC X 30; LG6
538812070043504; ESTALOX; ESTALOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; LG6
538813080046803; ESTALOX; ESTALOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 7 ; LG6
538812070043604; ESTALOX; ESTALOX; NOT FOUND; 20 MG COM REV CT BL AL PLAS OPC X 30; LG6
