509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 100 ML, FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML, FRS
509503602138411, FRESOFLOX, FRESOFLOX, NOT FOUND, 200 MG SOL INJ CX BOLSA PVC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 1% 20 ML AMPOLA, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 1% 50 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 1% AMPOLAS DE 100 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 2% - 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
509503701152412, FRESOLCAN, FRESOLCAN, NOT FOUND, 100 ML RB, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML , FRS
509503703155419, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503704151417, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509506901152410, FRUTOSE 5%, FRUTOSE 5, NOT FOUND, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 100 ML, FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML, FRS
509503602138411, FRESOFLOX, FRESOFLOX, NOT FOUND, 200 MG SOL INJ CX BOLSA PVC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 1% 20 ML AMPOLA, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 1% 50 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 1% AMPOLAS DE 100 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 2% - 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
509503701152412, FRESOLCAN, FRESOLCAN, NOT FOUND, 100 ML RB, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML , FRS
509503703155419, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503704151417, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509506901152410, FRUTOSE 5%, FRUTOSE 5, NOT FOUND, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 100 ML, FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML, FRS
509503602138411, FRESOFLOX, FRESOFLOX, NOT FOUND, 200 MG SOL INJ CX BOLSA PVC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 1% 20 ML AMPOLA, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 1% 50 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 1% AMPOLAS DE 100 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 2% - 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
509503701152412, FRESOLCAN, FRESOLCAN, NOT FOUND, 100 ML RB, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML , FRS
509503703155419, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503704151417, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509506901152410, FRUTOSE 5%, FRUTOSE 5, NOT FOUND, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 100 ML, FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML, FRS
509503602138411, FRESOFLOX, FRESOFLOX, NOT FOUND, 200 MG SOL INJ CX BOLSA PVC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 1% 20 ML AMPOLA, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 1% 50 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 1% AMPOLAS DE 100 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 2% - 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
509503701152412, FRESOLCAN, FRESOLCAN, NOT FOUND, 100 ML RB, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML , FRS
509503703155419, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CX 80 FR PLAS TRANS SIST FECH X 100 ML , FRS
509503704151417, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ IV CT BOLS PLAS TRANS SIST FECH X 100 ML , FRS
509506901152410, FRUTOSE 5%, FRUTOSE 5, NOT FOUND, 50 MG/ML SOL INJ IV CX FR PLAS TRANS SIST FECH X 500 ML, FRS
509503601158419, FRESOFLOX, FRESOFLOX, NOT FOUND, 100 ML, FRS
509503603150415, FRESOFLOX, FRESOFLOX, NOT FOUND, 2.0 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML, FRS
509503602138411, FRESOFLOX, FRESOFLOX, NOT FOUND, 200 MG SOL INJ CX BOLSA PVC X 100 ML, FRS
509503102151419, FRESOFOL, FRESOFOL, NOT FOUND, 1% 20 ML AMPOLA, FRS
509503104154415, FRESOFOL, FRESOFOL, NOT FOUND, 1% 50 ML, FRS
509503103158417, FRESOFOL, FRESOFOL, NOT FOUND, 1% AMPOLAS DE 100 ML, FRS
509503101155410, FRESOFOL, FRESOFOL, NOT FOUND, 2% - 20 MG/ML EMU INJ CX CT 10 FA VD INC X 50 ML, FRS
509503701152412, FRESOLCAN, FRESOLCAN, NOT FOUND, 100 ML RB, FRS
509503702159410, FRESOLCAN, FRESOLCAN, NOT FOUND, 2 MG/ML SOL INJ CT FR PLAS TRANS SIST FECH X 100 ML , FRS
