533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, CX C/ 01 BLN 20G, VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG C/3 BL C/10 COMP, VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 30 , VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, 0.0444 ML + 0.0444 G + 0.02 G/G POM DERM CT BG AL X 20 G, VAP
533508701110411, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 30 , VAP
533508702117418, GLICOMET, GLICOMET, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533504001165413, GINECOL, GINECOL, NOT FOUND, CX C/ 01 BLN 40G + 07 APLIC., VAP
533503901162412, GELLAT, GELLAT, NOT FOUND, 0.0444 ML + 0.0444 G + 0.02 G/G POM DERM CT BG AL X 20 G, VAP
