533514080027106, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT ENV AL X 12, VAP
533514080027206, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT ENV AL X 16, VAP
533514080027306, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT ENV AL X 24, VAP
533514080027406, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COM REV CT ENV AL X 480 (EMB HOSP), VAP
533509003115112, AMINOFILINA, AMINOFILINA, AMINOFILINA, 100 MG COM CT BL AL PLAS INC X 20, VAP
533509004111110, AMINOFILINA, AMINOFILINA, AMINOFILINA, 100 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533509002119114, AMINOFILINA, AMINOFILINA, AMINOFILINA, 200 MG COM CT BL AL PLAS INC X 20, VAP
533509001112116, AMINOFILINA, AMINOFILINA, AMINOFILINA, 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533509302112115, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG COM CT BL AL PLAS INC X 30, VAP
533509303119113, ATENOLOL, ATENOLOL, ATENOLOL, 25 MG COM CT BL AL PLAS INC X 30, VAP
533509301116117, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, VAP
533500701111410, ATENOCLOR, ATENOCLOR, NOT FOUND, 100 MG / 25 MG COM CT BL AL PLAS INC X 28, VAP
533500702118419, ATENOCLOR, ATENOCLOR, NOT FOUND, 50 MG / 12.5 MG COM CT BL AL PLAS INC X 28, VAP
533514060026003, AMLODIL, AMLODIL, NOT FOUND, 5 MG COM CT BL AL PLAS AMB X 20, VAP
533514060026103, AMLODIL, AMLODIL, NOT FOUND, 5 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP), VAP
533514060026203, AMLODIL, AMLODIL, NOT FOUND, 10 MG COM CT BL AL PLAS AMB X 20, VAP
533514060026303, AMLODIL, AMLODIL, NOT FOUND, 10 MG COM CT BL AL PLAS AMB  X 500 (EMB HOSP), VAP
533500501112413, AMLODIL, AMLODIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, VAP
533500503115411, AMLODIL, AMLODIL, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533500502119411, AMLODIL, AMLODIL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 20, VAP
533500504111418, AMLODIL, AMLODIL, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533508301112415, ANCLORIC, ANCLORIC, NOT FOUND, 5 MG + 50 MG COM CT BL AL PLAS INC X 30, VAP
533512090022903, AMPRAX, AMPRAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 30, VAP
533508001119414, AMPRAX, AMPRAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 40, VAP
533508003111410, AMPRAX, AMPRAX, NOT FOUND, 40 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533508002115412, AMPRAX, AMPRAX, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 30, VAP
533500301113416, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 20, VAP
533500303116412, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533500305135414, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 50 MG/ML SUS OR 50 FR PLAS OPC GOT X 30 ML (EMB HOSP), VAP
533500306131412, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 50 MG/ML SUS OR FR PLAS OPC GOT X 30 ML, VAP
533500302111417, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 600 MG COM CT BL AL PLAS INC X 20, VAP
533500304112410, ALGY-FLANDERIL, ALGY FLANDERIL, NOT FOUND, 600 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
