533508601167411, DERMITRAT, DERMITRAT, NOT FOUND, 20 MG/G CREM DERM CT 5O BG AL X 30 G (EMB HOSP), VAP
533508602163418, DERMITRAT, DERMITRAT, NOT FOUND, 20 MG/G CREM DERM CT BG AL X 30 G, VAP
533508603178419, DERMITRAT, DERMITRAT, NOT FOUND, 20 MG/ML SHAMP CT FR PLAS OPC X 100 ML , VAP
533508604115410, DERMITRAT, DERMITRAT, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, VAP
533508605111419, DERMITRAT, DERMITRAT, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 500 (EMB HOSP), VAP
533513120024603, DIMENIDRIN, DIMENIDRIN, NOT FOUND, 25 MG/ML + 5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML , VAP
533513120024703, DIMENIDRIN, DIMENIDRIN, NOT FOUND, 25 MG/ML + 5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP), VAP
533502504135410, DEXAMEX, DEXAMEX, NOT FOUND, 0.10 MG/ML ELIXIR CT FR VD AMB X 100 ML, VAP
533502505131419, DEXAMEX, DEXAMEX, NOT FOUND, 0.10 MG/ML ELIXIR CT 50 FR VD AMB X 100 ML, VAP
533502502167412, DEXAMEX, DEXAMEX, NOT FOUND, 1.0 MG/G CREM DERM CT BG AL X 10 G, VAP
533502503163410, DEXAMEX, DEXAMEX, NOT FOUND, 1.0 MG/G CREM DERM CT 50 BG AL X 10 G, VAP
533509102113118, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS INC X 24, VAP
533509101117111, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS INC X 480 (EMB HOSP), VAP
533503003113412, DORALEX, DORALEX, NOT FOUND, 500 MG COM CT ENV AL X 200, VAP
533513120025003, DORALEX, DORALEX, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 200 , VAP
533502901118415, DIURECLOR, DIURECLOR, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, VAP
533514060025503, DORFENOL, DORFENOL, NOT FOUND, 750MG COM CT BL AL PLAS LAR X 200 (EMB HOSP), VAP
533508802138417, DORFENOL, DORFENOL, NOT FOUND, 200 MG/ML SOL OR CT 50 FR PLAS OPC GOT X 15 ML (EMB HOSP), VAP
533508803134415, DORFENOL, DORFENOL, NOT FOUND, 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, VAP
533508801115413, DORFENOL, DORFENOL, NOT FOUND, 750 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), VAP
