533506502110413; SECDAZOL; SECDAZOL; NOT FOUND; 1000 MG COM CT ENV AL X 2 ; VAP
533513120024803; SECDAZOL; SECDAZOL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 2 ; VAP
533506503117411; SECDAZOL; SECDAZOL; NOT FOUND; 1000 MG COM CT 250 ENV AL X 2; VAP
533513120024903; SECDAZOL; SECDAZOL; NOT FOUND; 1000 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); VAP
533513070024106; SULFAMETOXAZOL+TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CT FR PET AMB X 100 ML; VAP
533513070024206; SULFAMETOXAZOL+TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 40 MG/ML + 8 MG/ML SUS OR CX 50 FR PET AMB X 100 ML(EMB HOSP); VAP
533512010022406; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 20; VAP
533512010022506; SULFAMETOXAZOL + TRIMETOPRIMA; SULFAMETOXAZOL TRIMETOPRIMA; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
533514080026606; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 2 MG/5 ML XPE CT FR PET AMB X 100 ML ; VAP
533514080026706; SULFATO DE SALBUTAMOL; SULFATO SALBUTAMOL; SULFATO SALBUTAMOL; 2 MG/5 ML XPE CT 50 FR PET AMB X 100 ML (EMB HOSP); VAP
533500102110425; SEDALIVE; SEDALIVE; NOT FOUND; 100 MG COM CT ENV KRAFT POLIET X 200; VAP
533500101114427; SEDALIVE; SEDALIVE; NOT FOUND; 500 MG COM CT ENV KRAFT POLIET X 100; VAP
533513120024503; SEDALIVE; SEDALIVE; NOT FOUND; 500 MG COM CT BL AL PLAS TRANS X 100; VAP
