1029802260016; LONGACTIL; LONGACTIL; NOT FOUND;  5 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); CT6
1029802260180; LONGACTIL; LONGACTIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML (EMB HOSP); CT6
1029802260131; LONGACTIL; LONGACTIL; NOT FOUND; 40 MG/ML SOL OR CX 10 FR VD AMB X 20 ML (EMB HOSP); CT6
1029802260172; LONGACTIL; LONGACTIL; NOT FOUND; 100 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029802260164; LONGACTIL; LONGACTIL; NOT FOUND; 25 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029803920230; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803920079; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 10 ; CT6
1029803920087; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 28; CT6
1029803920095; LABREA; LABREA; NOT FOUND; 5 MG COM REV CT BL AL PLAS TRANS X 30; CT6
1029803920109; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803920117; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); CT6
1029803920125; LABREA; LABREA; NOT FOUND; 5 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); CT6
1029803920206; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 10; CT6
1029803920214; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 28; CT6
1029803920222; LABREA; LABREA; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; CT6
1029803920249; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 250 (EMB HOSP); CT6
1029803920257; LABREA; LABREA; NOT FOUND; 10 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP) ; CT6
1029802450036; LAMI; LAMI; NOT FOUND; 10 MG / ML SOL OR CT FR PLAS OPC X 240 ML + SER DOS; CT6
1029803960011; LEFLUNOMIDA; LEFLUNOMIDA; LEFLUNOMIDA; 20 MG COM REV OR CT BL AL AL X 30; CT6
1029803030091; LEVOTAC; LEVOTAC; NOT FOUND; 5 MG/ML SOL INJ CT FR VD INC X 100 ML; CT6
1029803030138; LEVOTAC; LEVOTAC; NOT FOUND; 5 MG/ML SOL INJ IV CX 06 BOLS PLAS TRANS SIST FECH X 100 ML; CT6
1029803030014; LEVOTAC; LEVOTAC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 3; CT6
1029803030030; LEVOTAC; LEVOTAC; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 7; CT6
1029809090081; LEVOTAC; LEVOTAC; NOT FOUND;  500 MG COM REV CT BL AL PLAS INC X 10; CT6
1029803030073; LEVOTAC; LEVOTAC; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 7; CT6
1029803260079; LISINOPRIL; LISINOPRIL; LISINOPRIL; 10 MG COM CT 3 BL AL PLAS INC X 10; CT6
1029803260117; LISINOPRIL; LISINOPRIL; LISINOPRIL; 20 MG COM CT 3 BL AL PLAS INC X 10; CT6
1029803260036; LISINOPRIL; LISINOPRIL; LISINOPRIL; 5 MG COM CT 3 BL AL PLAS INC X 10; CT6
1029803370036; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CX BL AL PLAS OPC X 100 (EMB FRAC); CT6
1029803370011; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 2 BL X 10 CPS; CT6
1029803370028; LOSARTANA POTÁSSICA; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT 3 BL AL PLAS OPC X 10; CT6
1029800280133; LEVOZINE; LEVOZINE; NOT FOUND; 40 MG/ ML SOL ORAL CT 10 FR VD AMB X 20 ML; CT6
1029800280151; LEVOZINE; LEVOZINE; NOT FOUND; 100 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029800280095; LEVOZINE; LEVOZINE; NOT FOUND; 25 MG COM REV CT C/ 01 BL AL PLAS INC X 20; CT6
1029800280141; LEVOZINE; LEVOZINE; NOT FOUND; 25 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802170051; LEPTARD; LEPTARD; NOT FOUND; 6 PCC SUS OR CT FR VD AMB X 100 ML; CT6
1029802170025; LEPTARD; LEPTARD; NOT FOUND; 300 MG COM CT 2 BL AL X PVC X 10; CT6
1029802170041; LEPTARD; LEPTARD; NOT FOUND; 600 MG COM CT 4 BL AL X PVC X 5; CT6
