1029801350089; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 25 AMP VD INC X 2.5 ML; CT6
1029801350070; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML; CT6
1029801350011; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 05 AMP VD AMB X 2.5 ML; CT6
1029801350021; TRACUR; TRACUR; NOT FOUND; 10 MG/ML SOL INJ CX 05 AMP VD AMB X 5 ML; CT6
1029800440076; TEGRETARD; TEGRETARD; NOT FOUND; 200 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029800440068; TEGRETARD; TEGRETARD; NOT FOUND; 200 MG COM CT 2 BL AL PLAS INC X 10; CT6
1029800440041; TEGRETARD; TEGRETARD; NOT FOUND; 400 MG COM CX 20 ENV AL POLIET X 10 (EMB HOSP); CT6
1029800440051; TEGRETARD; TEGRETARD; NOT FOUND; 400 MG COM CT 2 BL AL PLAS INC X 10; CT6
1029802610051; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CX 100 AMP VD INC X 1 ML (EMB HOSP); CT6
1029802610076; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CX 100 AMP VD INC X 2 ML (EMB HOSP); CT6
1029802610017; TRAMADON; TRAMADON; NOT FOUND; 50MG/ML SOL INJ CT 6  AMP VD INC X 1 ML; CT6
1029802610068; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ CT 6 AMP VD INC X 2 ML; CT6
1029802610173; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ IV/IM CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
1029802610191; TRAMADON; TRAMADON; NOT FOUND; 50 MG/ ML SOL INJ IV/IM CX 36 AMP VD TRANS X 2 ML (EMB HOSP); CT6
1029802610025; TRAMADON; TRAMADON; NOT FOUND; 100 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; CT6
1029802610084; TRAMADON; TRAMADON; NOT FOUND; 100 MG SUP RET CT STR X 5; CT6
1029802610092; TRAMADON; TRAMADON; NOT FOUND; 100MG COM REV CT BL AL PLAS OPC  X 10; CT6
1029802610041; TRAMADON; TRAMADON; NOT FOUND; 50 MG CAP GEL DURA CT 10 BL AL PLAS OPC X 10; CT6
1029802610033; TRAMADON; TRAMADON; NOT FOUND; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; CT6
1029802610114; TRAMADON; TRAMADON; NOT FOUND; 150 MG COM REV CT BL AL PLAS OPC X 10; CT6
1029802610106; TRAMADON; TRAMADON; NOT FOUND; 200 MG COM REV CT BL  AL PLAS OPC X 10; CT6
1029800740088; TRIEXIDYL; TRIEXIDYL; NOT FOUND; 5MG-20 BLIST. 10CPS.; CT6
1029800410010; TENSURIL; TENSURIL; NOT FOUND; 15 MG/ML SOL INJ CT AMP VD INC X 20 ML; CT6
1029802220014; TANOHALO; TANOHALO; NOT FOUND; 1FR. 100ML; CT6
1029802220022; TANOHALO; TANOHALO; NOT FOUND; 1 ML/ML SOL INAL CT FR VD AMB X 250 ML; CT6
1029802220014; TANOHALO; TANOHALO; NOT FOUND; 1 ML/ML SOL INAL CT FR VD AMB X 100 ML; CT6
1029801330029; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CT AMP VD AMB X 5 ML; CT6
1029801330037; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CT  AMP VD AMB X 10 ML; CT6
1029801330045; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 5 ML; CT6
1029801330053; TRIDIL; TRIDIL; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML; CT6
