1029803660050; HELLEVA; HELLEVA; NOT FOUND; 80 MG COM CT BL AL PLAS TRANS X 10; CT6
1029803660069; HELLEVA; HELLEVA; NOT FOUND; 80 MG COM CT BL AL PLAS TRANS X 30; CT6
1029803660026; HELLEVA; HELLEVA; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 2 ; CT6
1029803660034; HELLEVA; HELLEVA; NOT FOUND; 80 MG COM CT BL AL PLAS INC X 4; CT6
1029803660042; HELLEVA; HELLEVA; NOT FOUND; 80 MG COM CT AL PLAST INC X 20 (EMB FRAC); CT6
1029800200301; HALO; HALO; NOT FOUND; 2 MG/ML SOL GOT OR CX 10 FR GOT PLAS OPC X 20 ML (EMB HOSP); CT6
1029802400012; HALO DECANOATO; HALO DECANOATO; NOT FOUND; 50MG/ML SOL INJ CX 3 AMP VD AMB X 1 ML; CT6
1029802400020; HALO  DECANOATO; HALO DECANOATO; NOT FOUND; 50 MG/ML SOL INJ CX 15 AMP VD AMB X 1 ML; CT6
1029802400039; HALO  DECANOATO; HALO DECANOATO; NOT FOUND; 50 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML; CT6
1029800200288; HALO; HALO; NOT FOUND; 5 MG/ML SOL INJ IM/IV CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029800200318; HALO; HALO; NOT FOUND; 5 MG/ML SOL INJ IM/IV CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029800200301; HALO; HALO; NOT FOUND; 2 MG/ML SOL GOT OR CX 10 FR GOT PLAS OPC X 20 ML (EMB HOSP); CT6
1029800200180; HALO; HALO; NOT FOUND; 10 MG COM CX 20 ENV AL POLIET X 10 (EMB HOSP); CT6
1029800200229; HALO; HALO; NOT FOUND; 1 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029800200253; HALO; HALO; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); CT6
1029800220130; HEPARIN; HEPARIN; NOT FOUND; 5000 UI/0.25 ML SOL INJ CX 25 AMP VD INC X 0.25 ML; CT6
1029800220106; HEPARIN; HEPARIN; NOT FOUND; 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML; CT6
1029803710066; HEMOFOL; HEMOFOL; NOT FOUND; 5000 UI/0.25 ML SOL INJ SC CX 36 AMP VD TRANS X 0.25 ML (EMB HOSP); CT6
1029803710015; HEMOFOL; HEMOFOL; NOT FOUND; 5000 UI/ML SOL INJ CX 25 FA VD INC X 5 ML ; CT6
1029803710023; HEMOFOL; HEMOFOL; NOT FOUND; 5000 UI/ML SOL INJ CX 50 FA VD INC X 5 ML ; CT6
1029803710031; HEMOFOL; HEMOFOL; NOT FOUND; 5000 UI/0.25 ML SOL INJ CX 25 AMP VD INC X 0.25 ML; CT6
