1029803040060; ROCURON; ROCURON; NOT FOUND; 10 MG/ML SOL INJ CT 25 FA VD TRANS X 5 ML; CT6
1029803040028; ROCURON; ROCURON; NOT FOUND; 10 MG/ML SOL INJ CT 12 FA VD INC X 5 ML; CT6
1029801640036; REVIA; REVIA; NOT FOUND; 50 MG COM CT FR PLAS OPC X 30; CT6
1029802980078; ROXETIN; ROXETIN; NOT FOUND; 20 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802980086; ROXETIN; ROXETIN; NOT FOUND; 30 MG COM REV CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802980027; ROXETIN; ROXETIN; NOT FOUND; 20 MG 3 BL X 10 CPS; CT6
1029802980043; ROXETIN; ROXETIN; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 20; CT6
1029802980035; ROXETIN; ROXETIN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; CT6
1029803390071; ROPI; ROPI; NOT FOUND; 2 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML; CT6
1029803390096; ROPI; ROPI; NOT FOUND; 7.5 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML; CT6
1029803390118; ROPI; ROPI; NOT FOUND; 10 MG/ML SOL INJ CX 5 EST X FA VD INC X 20 ML; CT6
1029803390037; ROPI; ROPI; NOT FOUND; 10 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML; CT6
1029803390029; ROPI; ROPI; NOT FOUND; 7.5 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML; CT6
1029803390010; ROPI; ROPI; NOT FOUND; 2 MG/ML SOL INJ CX 5 EST X AMP VD INC X 20 ML; CT6
