1029803360014; PLASBUMIN 20; PLASBUMIN 20; NOT FOUND; 200 MG/ML SOL INJ CT FA VD INC X 50 ML; CT6
1029801010016; PANCURON; PANCURON; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML  EMB.HOSP.; CT6
1029801010024; PANCURON; PANCURON; NOT FOUND; 2 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029801070019; PARKIDOPA; PARKIDOPA; NOT FOUND; 250 MG + 25 MG COM CX FR VD AMB X 30; CT6
1029801070027; PARKIDOPA; PARKIDOPA; NOT FOUND; 250 MG + 25 MG COM CX ENV AL POLIET X 500 (EMB HOSP); CT6
1029801070045; PARKIDOPA; PARKIDOPA; NOT FOUND; 250 MG + 25 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029801070034; PARKIDOPA; PARKIDOPA; NOT FOUND; 250 MG + 25 MG COM CX BL AL PLAS INC X 30; CT6
1029800420016; PAMERGAN; PAMERGAN; NOT FOUND;  25 MG/ML SOL INJ CX C/ 50 AMP VD AMB X 2 ML; CT6
1029800420156; PAMERGAN; PAMERGAN; NOT FOUND; 25 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML; CT6
1029800420083; PAMERGAN; PAMERGAN; NOT FOUND; 25 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB. HOSP.); CT6
1029803770077; PINAZAN; PINAZAN; NOT FOUND; 100 MG COM CX BL AL PLAS TRANS X 450 (EMB HOSP); CT6
1029803770050; PINAZAN; PINAZAN; NOT FOUND; 100 MG COM CX BL AL PLAS TRANS X 30; CT6
1029803770069; PINAZAN; PINAZAN; NOT FOUND; 100 MG COM CX BL AL PLAS TRANS X 90 (EMB HOSP); CT6
1029803770034; PINAZAN; PINAZAN; NOT FOUND; 25 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803770026; PINAZAN; PINAZAN; NOT FOUND; 25 MG COM CX BL AL PLAS TRANS X 30; CT6
1029800400031; PHOSFOENEMA; PHOSFOENEMA; NOT FOUND; (160 + 60)MG/ML ENEMA CX 12 FR PLAS TRANS X 130 ML (EMB. HOSP.); CT6
1029800400023; PHOSFOENEMA; PHOSFOENEMA; NOT FOUND; (160+60)MG/ML ENEMA CT FR PLAS TRANS X 130 ML; CT6
1029801420011; PAXEL; PAXEL; NOT FOUND; 30MG-1FR.5ML.; CT6
1029803100055; PAMIDROM; PAMIDROM; NOT FOUND; 60 MG PO LIOF INJ CX 5 FA VD INC + 5 AMP DIL X 10 ML; CT6
1029803100071; PAMIDROM; PAMIDROM; NOT FOUND; 90 MG PO LIOF INJ CX 5 FA VD INC + 5 AMP DIL X 10 ML; CT6
1029801340032; PROPOVAN; PROPOVAN; NOT FOUND; 10MG/ML-25AP. 2ML; CT6
1029801340059; PROPOVAN; PROPOVAN; NOT FOUND; 10 MG/ML EMU INJ CX 5 AMP VD INC X 10 ML (REST.  HOSP.); CT6
1029801340016; PROPOVAN; PROPOVAN; NOT FOUND; 10 MG/ML EMU INJ CX  5 AMP VD INC X 20 ML (REST. HOSP.) ; CT6
1029801340040; PROPOVAN; PROPOVAN; NOT FOUND; 10MG/ML-5AP. 5ML; CT6
1029801340083; PROPOVAN; PROPOVAN; NOT FOUND; 10 MG/ML EMU INJ CX 5 FA VD INC X 20 ML (REST HOSP); CT6
1029801340113; PROPOVAN; PROPOVAN; NOT FOUND; 10 MG/ML EMU INJ CX 10 AMP VD TRANS X 10 ML (REST.  HOSP.); CT6
1029803310025; PASIC; PASIC; NOT FOUND; 1 FR. 100 ML; CT6
