1029803000026; DENYL; DENYL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 14; CT6
1029803000034; DENYL; DENYL; NOT FOUND; 20 MG COM CT 2 BL AL PLAS INC X 14; CT6
1029803000050; DENYL; DENYL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 14; CT6
1029803000077; DENYL; DENYL; NOT FOUND; 20 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029801700020; DIFENIDRIN; DIFENIDRIN; NOT FOUND; 50 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029801700047; DIFENIDRIN; DIFENIDRIN; NOT FOUND; 50 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029801060013; DOPACRIS; DOPACRIS; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML EMB HOSP; CT6
1029801060021; DOPACRIS; DOPACRIS; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML (EMB HOSP); CT6
1029801430112; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML  SOL INJ CX 10 AMP VD AMB X 3 ML (EMB HOSP); CT6
1029800340020; DOLOSAL; DOLOSAL; NOT FOUND;  50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029800340055; DOLOSAL; DOLOSAL; NOT FOUND; 50 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029802060017; DANTROLEN; DANTROLEN; NOT FOUND; 20 MG PO LIOF CX 12 FA VD INC REST HOSP; CT6
1029802580010; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML  ELX CT FR VD AMB X 120 ML + CP MED; CT6
1029801220030; DEXAMESON; DEXAMESON; NOT FOUND; 1 MG/G CREM DERM CX 50 BG AL X 10 G; CT6
1029802660014; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; CT6
1029802860072; DUOFLAM; DUOFLAM; NOT FOUND; 6.43 MG/ML + 2.63 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER; CT6
1029802860099; DUOFLAM; DUOFLAM; NOT FOUND; 6.43 MG/ML + 2.63 MG/ML SUS INJ CX 24 AMP VD TRANS X 1 ML (EMB HOSP); CT6
1029800780047; DROPERDAL; DROPERDAL; NOT FOUND; 2.5 MG/ML SOL INJ CX  50 AMP VD INC X 1 ML (EMB. HOSP.); CT6
1029800780071; DROPERDAL; DROPERDAL; NOT FOUND; 2.5 MG/ML SOL INJ CX  50 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029801530028; DEXCLOR; DEXCLOR; NOT FOUND; 0.04%-50FR.100ML; CT6
1029801530036; DEXCLOR; DEXCLOR; NOT FOUND; 2 MG-20BLIS.10CPS.; CT6
1029801430015; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 3 ML; CT6
1029801430031; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 10 ML; CT6
1029801430023; DORMIRE; DORMIRE; NOT FOUND; 1 MG/ML SOL INJ CX 5 AMP VD AMB X 5 ML; CT6
1029801430090; DORMIRE; DORMIRE; NOT FOUND; 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML; CT6
1029801430104; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML; CT6
1029801430082; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 3 ML (EMB HOSP); CT6
