1029801100058; QUINACRIS; QUINACRIS; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 10 (EMB HOSP); CT6
1029801100041; QUINACRIS; QUINACRIS; NOT FOUND; 250 MG COM REV CX 20 BL AL PLAS INC X 10; CT6
1029803800081; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 28; CT6
1029803800049; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 14; CT6
1029803800065; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803800057; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 28; CT6
1029803800073; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 14; CT6
1029803800091; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803800014; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 14; CT6
1029803800022; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 28; CT6
1029803800030; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
