1029800180023; FRUTOVITAM; FRUTOVITAM; NOT FOUND; SOL INJ CX 100 AMP VD AMB X 10 ML (EMB HOSP); CT6
1029800180041; FRUTOVITAM; FRUTOVITAM; NOT FOUND; SOL INJ IV CX 10 AMP VD AMB X 10 ML (EMB HOSP); CT6
1029800810061; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 25 AMP VD INC X 5 ML (EMB HOSP); CT6
1029800810027; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML  SOL INJ CX 25 FA VD INC X 10 ML (EMB HOSP); CT6
1029800810086; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 50 EST X AMP VD INC X 2 ML (EMB HOSP); CT6
1029800810035; FENTANEST; FENTANEST; NOT FOUND; 0.05 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
1029800810043; FENTANEST; FENTANEST; NOT FOUND; 25 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP); CT6
1029800810051; FENTANEST; FENTANEST; NOT FOUND; 75 MCG / H ADES TRANSD CT SACO AL X 10 (REST HOSP); CT6
1029802160062; FASTFEN; FASTFEN; NOT FOUND; 50 MCG/ML SOL INJ  CX 10  AMP VD INC X 5 ML (EMB. HOSP.); CT6
1029802160070; FASTFEN; FASTFEN; NOT FOUND; 50 MCG/ML SOL INJ  CX 25  AMP VD INC X 1 ML (EMB HOSP.); CT6
1029802160046; FASTFEN; FASTFEN; NOT FOUND; 5 MCG/ML SOL INJ  CX 25 EST  AMP VD INC X 2 ML (EMB HOSP.) ; CT6
1029802160089; FASTFEN; FASTFEN; NOT FOUND; 5 MCG/ML SOL INJ  CX 30 EST AMP VD INC X 2 ML (EMB HOSP) ; CT6
1029802160054; FASTFEN; FASTFEN; NOT FOUND; 5 MCG/ML SOL INJ  CX 25 AMP VD INC X 2 ML (EMB HOSP.); CT6
1029800170014; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666UI/G + 1UI/G + 10M/G POM DERM CT BG AL X 10 G; CT6
1029800170022; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666UI/G + 1UI/G + 10M/G POM DERM CT BG AL X 30 G; CT6
1029800170109; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666 U/G + 1U/G + 10M/G POM DERM CX 10 BG AL X 10 G (EMB HOSP) ; CT6
1029800170117; FIBRINASE COM CLORANFENICOL; FIBRINASE CLORANFENICOL; NOT FOUND; 666 U/G + 1U/G + 10M/G POM DERM CX 10 BG AL X 30 G (EMB HOSP); CT6
1029801690033; FENILEFRIN; FENILEFRIN; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029801690076; FENILEFRIN; FENILEFRIN; NOT FOUND; 10 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML; CT6
1029801970036; FLUOXETIN; FLUOXETIN; NOT FOUND; 20 MG CAP GEL DURA CX BL AL PLAS INC X 500; CT6
1029802970072; FUNTYL; FUNTYL; NOT FOUND; 10 MG/G CREM CT BG AL X 20 G; CT6
1029802970056; FUNTYL; FUNTYL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 14; CT6
1029802970064; FUNTYL; FUNTYL; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 28; CT6
1029802240058; FLUFENAN; FLUFENAN; NOT FOUND; 5 MG COM REV CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029800980021; FLUFENAN DEPOT; FLUFENAN DEPOT; NOT FOUND; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029800150086; FENITAL; FENITAL; NOT FOUND; 50 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB. HOSP.); CT6
1029800150116; FENITAL; FENITAL; NOT FOUND; 2.5% S.ORAL-01FR.120ML; CT6
1029800150167; FENITAL; FENITAL; NOT FOUND; 100MG-20 BLI.10CPS; CT6
1029800160102; FENOCRIS; FENOCRIS; NOT FOUND; 100 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
1029800160189; FENOCRIS; FENOCRIS; NOT FOUND; 100 MG/ML SOL INJ CX 36 AMP VD TRANS X 2 ML (EMB HOSP); CT6
1029800160030; FENOCRIS; FENOCRIS; NOT FOUND; 40MG/ML SOL OR CX 10 FR VD AMB X 20 ML + GOT (EMB HOSP) ; CT6
1029800160121; FENOCRIS; FENOCRIS; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029801450024; FLUCAZOL; FLUCAZOL; NOT FOUND; 2 MG/ML SOL INJ INFUS IV CX FR VD INC X 100 ML; CT6
1029801450032; FLUCAZOL; FLUCAZOL; NOT FOUND; 100 MG CAP GEL DURA CT  BL AL PLAS INC X 8 ; CT6
1029801450016; FLUCAZOL; FLUCAZOL; NOT FOUND; 50 MG CAP GEL DURA CT  BL AL PLAS INC X 8; CT6
1029801450067; FLUCAZOL; FLUCAZOL; NOT FOUND; 100 MG CAP GEL DURA CX BL AL PLAS INC X 100 (EMB FRAC) ; CT6
1029802870027; FLUMAZIL; FLUMAZIL; NOT FOUND; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; CT6
1029802870035; FLUMAZIL; FLUMAZIL; NOT FOUND; 0.1 MG/ML SOL INJ CX 10 AMP VD TRANS  X 5 ML; CT6
1029803880018; FUMARATO DE TENOFOVIR DESOPROXILA; FUMARATO TENOFOVIR DESOPROXILA; FUMARATO TENOFOVIR DESOPROXILA; 300 MG COM REV FR PLAS OPC X 30; CT6
1029803790061; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 28; CT6
1029803790019; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; CT6
1029803790035; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 28; CT6
1029803790027; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 14; CT6
1029803790043; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); CT6
1029803790078; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP); CT6
1029803790094; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 14; CT6
1029803790108; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803790116; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 28; CT6
