1029803650020; XYLESTESIN ISOBÁRICO; XYLESTESIN ISOBARICO; NOT FOUND; 20 MG/ML SOL INJ CX 10 AMP VD INC X 5 ML (EMB HOSP); CT6
1029803650012; XYLESTESIN ISOBÁRICO; XYLESTESIN ISOBARICO; NOT FOUND; 20 MG/ML SOL INJ CX 50 AMP VD INC X 5 ML (EMB HOSP); CT6
1029803850011; XYLESTESIN PESADA; XYLESTESIN PESADA; NOT FOUND; 50 MG/ML + 75 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP) ; CT6
1029803850021; XYLESTESIN PESADA; XYLESTESIN PESADA; NOT FOUND; 50 MG/ML + 75 MG/ML SOL INJ CX 10 EST X 5 AMP VD INC X 2 ML(EMB HOSP) ; CT6
1029803570078; XYLESTESIN; XYLESTESIN; NOT FOUND; 10 MG/ML SOL INJ CX 10 EST FA VD INC X 20 ML (EMB HOSP); CT6
1029803570061; XYLESTESIN; XYLESTESIN; NOT FOUND; 1 PCC SOL INJ CX 10 FA VD INC X 20 ML(EMB HOSP); CT6
1029803570027; XYLESTESIN; XYLESTESIN; NOT FOUND; 20 MG/ML SOL INJ CX 10 EST X FA VD INC X 20 ML (EMB HOSP); CT6
1029803570124; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC SOL INJ CX 10 FA VD INC X 20 ML (EMB. HOSP.); CT6
1029800290095; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC SOL INJ CX 50 CARP PLAS TRANS X 1.8 ML; CT6
1029800720338; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 10 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029800720346; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
1029800720138; XYLESTESIN COM EPINEFRINA; XYLESTESIN EPINEFRINA; NOT FOUND; 20 MG/ML + 9.1 MCG/ML SOL INJ CX 10 FA VD INC X 20 ML; CT6
1029800720057; XYLESTESIN+NOREPINEFRINA; XYLESTESIN NOREPINEFRINA; NOT FOUND; 2% C/V-50CARP. 1.8ML; CT6
1029800720312; XYLESTESINPESADA; XYLESTESINPESADA; NOT FOUND; 50 MG/ML + 75 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML ( EMB. HOSP.); CT6
1029803570108; XYLESTESIN; XYLESTESIN; NOT FOUND; 100 MG/ML SOL TOP SPRAY CT FR VD INC NEB X 50 ML; CT6
1029803570167; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC GELEIA TOP CX 10 EST SER PLAST PRE-ENCH X 10 G; CT6
1029803570116; XYLESTESIN; XYLESTESIN; NOT FOUND; 2 PCC GELEIA TOP CX 10 BG AL X 30 G + APLICADORES; CT6
