1029802500017; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; CT6
1029802290039; ANFORICIN B; ANFORICIN B; ANFOTERICINA B; 50 MG PO LIOF INJ CX 25 FA VD INC + SOL DIL ( REST HOSP); CT6
1029803420051; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30 ; CT6
1029803420068; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); CT6
1029803420017; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30 ; CT6
1029803420025; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); CT6
1029803420033; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30 ; CT6
1029803420041; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); CT6
1029803280061; ANA-FLEX; ANA FLEX; NOT FOUND; 35 MG/ML + 300MG/ML + 50MG/ML SOL OR CT FR VD AMB X 20 ML; CT6
1029803280029; ANA-FLEX; ANA FLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 10; CT6
1029803280053; ANA-FLEX; ANA FLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); CT6
1029803280045; ANA-FLEX; ANA FLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 30; CT6
1029803280010; ANA-FLEX; ANA FLEX; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 4; CT6
1029801320015; ALFAST; ALFAST; NOT FOUND; 0.544 MG/ML SOL INJ CX  10 AMP VD INC X 5 ML; CT6
1029801320023; ALFAST; ALFAST; NOT FOUND; 0.544 MG/ML SOL INJ CX  25 AMP VD INC X 10 ML; CT6
1029801320023; ALFENTA; ALFENTA; NOT FOUND; 0.544MG/ML-25AP. 10ML; CT6
1029801320031; ALFAST; ALFAST; NOT FOUND; 0.544 MG/ML SOL INJ CX 10 AMP VD TRANS X 10 ML; CT6
1029802250045; AMYTRIL; AMYTRIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 20; CT6
1029802250053; AMYTRIL; AMYTRIL; NOT FOUND; 25 MG COM REV CX  BL AL PLAS INC X 200 (EMB HOSP) ; CT6
1029802250071; AMYTRIL; AMYTRIL; NOT FOUND; 75 MG COM REV CT 2 BL AL PLAS INC X 10; CT6
1029803640017; AMYTRIL; AMYTRIL; NOT FOUND; 10 MG COM REV CT BL AL PLAST INC X 30 ; CT6
1029803640025; AMYTRIL; AMYTRIL; NOT FOUND; 10 MG COM REV CT BL AL PLAST INC X 10; CT6
1029802250088; AMYTRIL; AMYTRIL; NOT FOUND; 75 MG COM REV CX  BL AL PLAS INC X 200 (EMB HOSP); CT6
1029802250118; AMYTRIL; AMYTRIL; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 30; CT6
1029801020011; ARAMIN; ARAMIN; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML; CT6
1029801020038; ARAMIN; ARAMIN; NOT FOUND; 10 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
1029803470014; ALIMAX; ALIMAX; NOT FOUND; 10 000 UI/ML SOL TOP SPY CT FR VD INC NEB X 50 ML ; CT6
1029803470030; ALIMAX; ALIMAX; NOT FOUND; 10.000 UI/ML SOL TOP SPY CT FR VD INC NEB X 20 ML; CT6
1029803290024; ACNIL; ACNIL; NOT FOUND; 10 MG 3 BL X 10 CPS; CT6
1029803290059; ACNIL; ACNIL; NOT FOUND; 20 MG 3 BL X 10 CPS; CT6
