1029802960034; NADERM; NADERM; NOT FOUND; 0.5 MG + 20.0 MG + 2.5 MG CREM DERM CT BG X 30G; CT6
1029802960085; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; CT6
1029802960069; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G POM DERM CT BG AL X 15 G; CT6
1029802960018; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G CREM DERM CT BG AL X 15 G; CT6
1029800790042; NEUROLITHIUM; NEUROLITHIUM; NOT FOUND;  300 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029800790026; NEUROLITHIUM; NEUROLITHIUM; NOT FOUND; 300 MG COM CX 5 BL AL PLAS INC X 10; CT6
1029803020027; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); CT6
1029803020061; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029803020078; NILPERIDOL; NILPERIDOL; NOT FOUND; 0.0785 MG/ML + 2.5 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029800530229; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.25 PCC SOL INJ CX 10 EST FA VD INC X 20ML; CT6
1029800530245; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 EST X FA VD INC X 20ML; CT6
1029800530237; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 06 FA VD INC X 20ML; CT6
1029800530271; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.75 PCC SOL INJ CX 10 EST X FA VD INC X 20 ML; CT6
1029800530029; NEOCAÍNA SEM VASOCONSTRICTOR; NEOCAINA VASOCONSTRICTOR; NOT FOUND; 0.5 PCC SOL INJ CX 10 FA VD INC X 20 ML; CT6
1029800530253; NEOCAÍNA ISOBÁRICA; NEOCAINA ISOBARICA; NOT FOUND; 0.5 PCC SOL INJ CX 40 EST X AMP VD INC X 4 ML (EMB. HOSP.); CT6
