1029803410070; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CX BL AL PLAS AMB X 100 (EMB FRAC); CT6
1029803410046; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; CT6
1029803410062; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); CT6
1029803410054; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; CT6
1029803410011; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20 ; CT6
1029803410038; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); CT6
1029803410021; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; CT6
1029802270038; BREVIBLOC; BREVIBLOC; NOT FOUND; 10 MG/ML SOL INJ CX 20 FA VD AMB X 10 ML EMB HOSP; CT6
1029802270011; BREVIBLOC; BREVIBLOC; NOT FOUND; 250 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML EMB HOSP; CT6
1029802270054; BREVIBLOC; BREVIBLOC; NOT FOUND; 10 MG/ML SOL INJ CX 25 FA VD AMB X 10 ML (EMB. HOSP.); CT6
1029802890087; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG SOL INJ CX 5 AMP VD INC X 1.5 ML; CT6
1029802890125; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG SOL INJ CX 1 AMP VD INC X 1.5 ML + SERINGA +AG; CT6
1029802890044; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG COM CT BL AL/AL X 10; CT6
1029802890011; BIOFLAC; BIOFLAC; NOT FOUND; 7.5 MG COM CT BL AL/AL X 10; CT6
1029802890141; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG COM CT BL AL/AL X 5; CT6
1029800680026; BENORMAL; BENORMAL; NOT FOUND; DRG CT FR VD AMB X 200; CT6
1029802030010; BEFERON; BEFERON; NOT FOUND; 3000000-1FR+DIL; CT6
1029802030029; BEFERON ALFA 2A; BEFERON ALFA 2A; NOT FOUND; 9.000.000 1 FRASCO + DILUENTE; CT6
1029802020031; BEFERON ALFA 2B; BEFERON ALFA 2B; NOT FOUND; 10.000.000 1 FRASCO + DILUENTE; CT6
1029802020015; BEFERONB; BEFERONB; NOT FOUND; BEFERON B 3000000-1FR+DIL; CT6
1029802020023; BEFERONB; BEFERONB; NOT FOUND; BEFERON B 5000000-1FR+DIL; CT6
1029801030025; BACRIS; BACRIS; NOT FOUND; 4%+0.8% S.ORAL-FRASCO 50ML; CT6
