1029801310025; CICLOCRIS; CICLOCRIS; NOT FOUND; 5% CREME-1BIS. 10GR; CT6
1029801310017; CICLOCRIS; CICLOCRIS; NOT FOUND; 200MG-CX.C/25CPS.; CT6
1029804040013; CIS; CIS; NOT FOUND; 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 5 ML ; CT6
1029804040021; CIS; CIS; NOT FOUND; 2 MG/ML SOL INJ IV CX 20 AMP VD TRANS X 5 ML; CT6
1029804040031; CIS; CIS; NOT FOUND; 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 10 ML; CT6
1029804040048; CIS; CIS; NOT FOUND; 2 MG/ML SOL INJ IV CX 20 AMP VD TRANS X 10 ML; CT6
1029804100016; CABEREDUX; CABEREDUX; NOT FOUND; 0.5 MG COM OR CT FR VD AMB X 2 ; CT6
1029804100024; CABEREDUX; CABEREDUX; NOT FOUND; 0.5 MG COM OR CT FR VD AMB X 8; CT6
1029803140022; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; CT6
1029803140049; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; CT6
1029803140065; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; CT6
1029803140138; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CX BL AL PLAS INC X 100 (EMB FRAC); CT6
1029802940017; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML; CT6
1029802800045; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; CT6
1029803200033; CETOPROFENO; CETOPROFENO; CETOPROFENO; 100 MG PO LIOF P/ SOL INJ CX 50 FA VD INC (EMB HOSP); CT6
1029802760019; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ IM CX 6 AMP VD AMB X 2 ML; CT6
1029802760035; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ IM CX 48 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029801890016; CLOPAM; CLOPAM; NOT FOUND; 2.5 MG/ML SOL OR CT FR VD AMB X 20 ML; CT6
1029801890024; CLOPAM; CLOPAM; NOT FOUND; 0.5 MG COM CT 2 BL AL PLAS INC X 10; CT6
1029801890040; CLOPAM; CLOPAM; NOT FOUND; 0.5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029801890032; CLOPAM; CLOPAM; NOT FOUND; 2 MG COM CT 2 BL AL PLAS INC X 10; CT6
1029801890059; CLOPAM; CLOPAM; NOT FOUND; 2 MG COM CX BL AL PLAST INC X 200 (EMB HOSP); CT6
1029803060010; CLOR.AMBROXOL; CLOR AMBROXOL; CLORIDRATO AMBROXOL; 3MG/ML-XAROPE-F.120ML; CT6
1029803060045; CLOR.AMBROXOL; CLOR AMBROXOL; CLORIDRATO AMBROXOL; 6MG/ML-XAROPE-FR.120ML; CT6
1029802570023; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML; CT6
1029800960029; CINETOL; CINETOL; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML; CT6
1029800960045; CINETOL; CINETOL; NOT FOUND; 2 MG COM CX 20 BL AL PLAS INC X 10 (EMB HOSP); CT6
1029800960037; CINETOL; CINETOL; NOT FOUND; 2 MG COM CX 8 BL  AL PLAS INC X 10; CT6
1029801930034; CLONIDIN; CLONIDIN; NOT FOUND; 150 MCG/ML SOL INJ CX 25 EST X AMP VD AMB X 1 ML (EMB. HOSP.); CT6
1029801930069; CLONIDIN; CLONIDIN; NOT FOUND; 150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML (EMB HOSP); CT6
1029803300021; CITOCAINA; CITOCAINA; NOT FOUND; 3 PCC + 0.03 UI / ML SOL INJ CT CX 50 CARP PLAS TRANS X 1.8 ML; CT6
1029802100027; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT 1 BG AL X 45 G + 10 APLIC; CT6
1029802100043; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CX 25 BG AL X 45 G + APLIC (EMB. HOSP); CT6
1029802770030; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CX 50 BG AL X 45 G + 10 APLIC (EMB. HOSP); CT6
1029800550270; CORDILAT; CORDILAT; NOT FOUND; 5 MG SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029800550319; CORDILAT; CORDILAT; NOT FOUND; 80 MG COM REV CT CX 20 BL AL PLAS INC X 10 EMB HOSP; CT6
1029803780021; CLOZAPINA; CLOZAPINA; CLOZAPINA; 25 MG COM CT BL AL PLAS TRANS X 30; CT6
1029803780056; CLOZAPINA; CLOZAPINA; CLOZAPINA; 100 MG COM CT BL AL PLAS TRANS X 30; CT6
1029803780072; CLOZAPINA; CLOZAPINA; CLOZAPINA; 100 MG COM CX BL AL PLAS TRANS X 450 (EMB HOSP); CT6
1029803780064; CLOZAPINA; CLOZAPINA; CLOZAPINA; 100 MG COM CX BL AL PLAS TRANS X 90 (EMB HOSP); CT6
1029803780031; CLOZAPINA; CLOZAPINA; CLOZAPINA; 25 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029800080142; COMPAZ; COMPAZ; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; CT6
1029800080150; COMPAZ; COMPAZ; NOT FOUND; 5 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
1029800080071; COMPAZ; COMPAZ; NOT FOUND; 10 MG COM CX BL AL PLAS INC X 200 (EMB. HOSP.); CT6
1029800080088; COMPAZ; COMPAZ; NOT FOUND; 5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029801990045; CODEIN; CODEIN; NOT FOUND; 30 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML; CT6
1029801990037; CODEIN; CODEIN; NOT FOUND; 3 MG/ML SOL OR CT FR VD AMB X 120 ML; CT6
1029801990029; CODEIN; CODEIN; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 30; CT6
1029801990010; CODEIN; CODEIN; NOT FOUND; 60 MG COM CT BL AL PLAS INC X 30; CT6
1029801990071; CODEIN; CODEIN; NOT FOUND; 30 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML; CT6
1029802490011; CLOR.LIDOCAINA; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; 2% GEL TOP CT BG AL X 30 G + APLIC; CT6
1029801120024; CRISDAZOL; CRISDAZOL; NOT FOUND; 20MG/ML-50FR.30ML; CT6
1029801120032; CRISDAZOL; CRISDAZOL; NOT FOUND; 100MG-50BLIST.6CPS; CT6
1029800920019; CANDISTATIN; CANDISTATIN; NOT FOUND; 100000UI/ML-50FR.X50ML; CT6
1029800920035; CANDISTATIN; CANDISTATIN; NOT FOUND; 25000/I/G-CREME-50B.60G; CT6
1029803900019; CRISAPINA; CRISAPINA; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 14; CT6
1029803900027; CRISAPINA; CRISAPINA; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 28; CT6
1029803900035; CRISAPINA; CRISAPINA; NOT FOUND; 2.5 MG COM REV CX BL AL/AL X 200 (EMB HOSP); CT6
1029803900043; CRISAPINA; CRISAPINA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14 ; CT6
1029803900051; CRISAPINA; CRISAPINA; NOT FOUND; 5 MG COM REV CT BL AL/AL X 28; CT6
1029803900061; CRISAPINA; CRISAPINA; NOT FOUND; 5 MG COM REV CX BL AL/AL X 200 (EMB HOSP); CT6
1029803900086; CRISAPINA; CRISAPINA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; CT6
1029803900094; CRISAPINA; CRISAPINA; NOT FOUND; 10 MG COM REV CT BL AL/AL X 28; CT6
1029803900108; CRISAPINA; CRISAPINA; NOT FOUND; 10 MG COM REV CX BL AL/AL X 200 (EMB HOSP); CT6
1029801510043; CRISPRED; CRISPRED; NOT FOUND; 20 MG COM CX BL AL PLAS INC X 200; CT6
1029801510035; CRISPRED; CRISPRED; NOT FOUND; 5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
1029801510051; CRISPRED; CRISPRED; NOT FOUND; 5 MG COM CX BL AL PLAS INC X 100 (EMB FRAC) ; CT6
