1029801160034; MIOCORON; MIOCORON; NOT FOUND; 200 MG COM CX 20 BL AL PLAS INC X 10; CT6
1029801380018; MYTEDOM; MYTEDOM; NOT FOUND; 10 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML; CT6
1029801380131; MYTEDOM; MYTEDOM; NOT FOUND; 10 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
1029801380042; MYTEDOM; MYTEDOM; NOT FOUND; 10 MG COM CT FR VD AMB X 20; CT6
1029801380037; MYTEDOM; MYTEDOM; NOT FOUND;  5 MG COM CT FR VD AMB X 20; CT6
1029801380107; MYTEDOM; MYTEDOM; NOT FOUND; 10 MG COM CT BL AL/AL X 20; CT6
1029801380085; MYTEDOM; MYTEDOM; NOT FOUND; 5 MG COM CT BL AL/AL X 20; CT6
1029801560016; MENOTROGEN; MENOTROGEN; NOT FOUND; 0.625 MG/G CREM VAG CT BG AL X 25 G + APLIC; CT6
1029802310021; MARCLORHEX; MARCLORHEX; NOT FOUND; 20 MG/ML SAB LIQ CX FR PLAS OPC X 1000 ML; CT6
1029802310048; MARCLORHEX; MARCLORHEX; NOT FOUND; 4%-FR.1 LITRO (R); CT6
1029802360010; MARCODINE; MARCODINE; NOT FOUND; TINTURA-FR. 1 LITRO; CT6
1029802300034; MARCODINE SCRUB; MARCODINE SCRUB; NOT FOUND; -FR. 1 LITRO (R); CT6
1029802300018; MARCODINE; MARCODINE; NOT FOUND;  100 MG/ML SOL TOP CX FR PLAS OPC X 1000 ML; CT6
1029800330041; MEDICAÍNA; MEDICAINA; NOT FOUND; 25 MG/G + 25 MG/G CREM DERM CT BG AL X 5 G; CT6
1029802780011; MAL.DEXCLORF.+BETAMETASONA; MAL DEXCLORF BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; CT6
1029802530013; MAL.DEXCLORFENIRAMINA; MAL DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; CT6
1029803160015; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT 3 BL AL/AL X 10 ; CT6
1029803160023; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT 3 BL AL/AL X 10 ; CT6
1029803160041; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT 3 BL AL/AL X 10; CT6
1029802670036; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; CT6
1029802670028; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); CT6
1029802590016; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; CT6
1029802630034; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; CT6
1029803750017; MESILATO DE DESFERROXAMINA; MESILATO DESFERROXAMINA; MESILATO DESFERROXAMINA; 500 MG PO LIOF CT 5 FA VD INC + 5 AMP DIL VD INC X 5 ML; CT6
1029803980012; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 100 MG COM REV OR CT BL AL PLAS TRANS X 30; CT6
1029803980020; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 100 MG COM REV OR CT BL AL PLAS TRANS X 60; CT6
1029803980039; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 100 MG COM REV OR CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803980047; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 100 MG COM REV OR CX BL AL PLAS TRANS X 600 (EMB HOSP); CT6
1029803980055; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 400 MG COM REV OR CT BL AL PLAS TRANS X 30; CT6
1029803980063; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 400 MG COM REV OR CT BL AL PLAS TRANS X 60; CT6
1029803980071; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 400 MG COM REV OR CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
1029803980081; MESILATO DE IMATINIBE; MESILATO IMATINIBE; MESILATO IMATINIBE; 400 MG COM REV OR CX BL AL PLAS TRANS X 600 (EMB HOSP); CT6
1029801130011; METRONIX; METRONIX; NOT FOUND; 100 MG/G GEL VAG CX 50 BG AL X 50 G + APLIC; CT6
1029802680015; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G CREM DERM CT BG AL X 15 G; CT6
1029802680015; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CT BG AL X 15 G; CT6
1029802680023; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CX 25 BG AL X 15 G (EMB HOSP); CT6
1029802680031; MUPIROCINA; MUPIROCINA; MUPIROCINA; 20 MG/G POM DERM CX 50 BG AL X 15 G (EMB HOSP); CT6
9859595959531; MINEROLEO; MINEROLEO; NOT FOUND; 100% - FR. X 100ML; CT6
ISENTO; MINEROLEO; MINEROLEO; NOT FOUND; 100% - FR. X 200ML; CT6
