522823404113417; METILVITA; METILVITA; NOT FOUND; 250 MG COM REV CT 3 BL AL PLAS AMB X 10; L3B
522823403117419; METILVITA; METILVITA; NOT FOUND; 250 MG COM REV CT 50 BL AL PLAS AMB X 10; L3B
522823402110410; METILVITA; METILVITA; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS AMB X 10; L3B
522823401114412; METILVITA; METILVITA; NOT FOUND; 500 MG COM REV CT 50 BL AL PLAS AMB X 10; L3B
522814090008803; MEVILIP; MEVILIP; NOT FOUND; 20 MG COM REV CX  BL AL PLAS INC X 500 (EMB HOSP) ; L3B
522814090008903; MEVILIP; MEVILIP; NOT FOUND; 20 MG COM REV CX  BL AL PLAS INC X 60; L3B
522814120009003; MEVILIP; MEVILIP; NOT FOUND; 40 MG COM REV CX BL AL PLAS INC X 500 (EMB HOSP); L3B
522823309110414; MEVILIP; MEVILIP; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 30; L3B
522823311115411; MEVILIP; MEVILIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; L3B
522823308114416; MEVILIP; MEVILIP; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; L3B
522823307118418; MEVILIP; MEVILIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 10; L3B
522812030008303; MEVILIP; MEVILIP; NOT FOUND; 40 MG COM REV CT BL AL PLAS TRANS X 30 ; L3B
522823306111411; MEVILIP; MEVILIP; NOT FOUND; 80 MG COM  REV CT BL AL PLAS AMB X 10; L3B
