527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75MG COMP BL 30, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25 MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75 MG COMP BL 30, P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
527903001113418, LABERITIN, LABERITIN, NOT FOUND, 25 MG COMP BL 30, P7B
527903003116414, LABERITIN, LABERITIN, NOT FOUND, 75 MG COMP BL 30, P7B
527904801164414, LABCAÍNA, LABCAINA, NOT FOUND, 50 MG / G POM DERM CT BIS AL X 25 G, P7B
527906501117417, LORADRINA D, LORADRINA D, NOT FOUND, 5 MG+ 120 MG DRG CT BL AL PLAS INC X 12 , P7B
