522203001111316, NORVASC, NORVASC, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 20, PFZ
522203002116311, NORVASC, NORVASC, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 30, PFZ
522212050053103, NORVASC, NORVASC, NOT FOUND, 10 MG COM CT BL AL PLAS OPC X 60, PFZ
522203005115316, NORVASC, NORVASC, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 10, PFZ
522203003112311, NORVASC, NORVASC, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 20, PFZ
522203004119318, NORVASC, NORVASC, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 30, PFZ
522212050053003, NORVASC, NORVASC, NOT FOUND, 5 MG COM CT BL AL PLAS OPC X 60, PFZ
522240403110416, NAXOGIN COMPOSTO, NAXOGIN COMPOSTO, NOT FOUND, 250MG + 250MG + 100000UI COM VAG CT STR AL/AL X 10 + APLIC, PFZ
522202902113310, NEURONTIN, NEURONTIN, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522202901117312, NEURONTIN, NEURONTIN, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522202903111311, NEURONTIN, NEURONTIN, NOT FOUND, 400 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522202904116317, NEURONTIN, NEURONTIN, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 27, PFZ
522240401118411, NAXOGIN, NAXOGIN, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 8, PFZ
