522202601113419, MINIPRESS SR, MINIPRESS SR, NOT FOUND, 1 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15, PFZ
522202602111411, MINIPRESS SR, MINIPRESS SR, NOT FOUND, 2 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15, PFZ
522202603116415, MINIPRESS SR, MINIPRESS SR, NOT FOUND, 4 MG CAP GEL DURA MCGRAN LIB LENTA CT BL AL PLAS INC X 15, PFZ
522202501119415, MARAX, MARAX, NOT FOUND, 10 MG + 25 MG + 130 MG COM CT FR VD AMB X 20, PFZ
522202503111314, MARAX, MARAX, NOT FOUND, 10 MG + 25 MG + 130 MG COM CT BL AL AL X 20, PFZ
522237901113417, MINIDIAB, MINIDIAB, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, PFZ
522240602113318, MOTRIN, MOTRIN, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 12, PFZ
522240601117417, MOTRIN, MOTRIN, NOT FOUND, 600 MG COM REV CT FR PLAS OPC X 30, PFZ
522240603111319, MOTRIN, MOTRIN, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 30, PFZ
522240604116314, MOTRIN, MOTRIN, NOT FOUND, 600 MG COM REV CT FR PLAS OPC X 50, PFZ
522213060055903, MIANTREX CS, MIANTREX CS, NOT FOUND, 100 MG/ML SOL INJ CT FA PLAS TRANS X 10 ML (REST HOSP)., PFZ
522241101150413, MIANTREX CS, MIANTREX CS, NOT FOUND, 25 MG/ML SOL INJ CT FA PLAS TRANS X 2 ML (REST HOSP), PFZ
522241102157411, MIANTREX CS, MIANTREX CS, NOT FOUND, 25 MG/ML SOL INJ CT FA PLAS TRANS X 20 ML(REST HOSP), PFZ
522202401114411, MANSIL, MANSIL, NOT FOUND, 250 MG CAP GEL DURA CT STR AL/AL X 6, PFZ
522202402137415, MANSIL, MANSIL, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 12 ML + CONTA-GOTAS, PFZ
522243201111319, MYCOBUTIN, MYCOBUTIN, NOT FOUND, 150 MG CAP GEL DURA CT FR PLAS OPC X 100, PFZ
522243202116314, MYCOBUTIN, MYCOBUTIN, NOT FOUND, 150 MG CAP GEL DURA CT FR PLAS OPC X 100, PFZ
