522204303111317, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 2, PFZ
522204304116312, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 3, PFZ
522204307158318, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG PO LIOF SOL INJ INFUS IV CT FA VD INC, PFZ
522204305139316, ZITROMAX, ZITROMAX, NOT FOUND, 600 MG PO SUS OR CT FR PLAS OPC + DIL + MED P/ ADM, PFZ
522204306135314, ZITROMAX, ZITROMAX, NOT FOUND, 900 MG PO SUS OR CT FR PLAS OPC + DIL + MED P/ ADM, PFZ
522212030052203, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 30 (EMB HOSP), PFZ
522212030052003, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 5, PFZ
522212030052303, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP), PFZ
522212030052103, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 9, PFZ
522212050052703, ZITROMAX, ZITROMAX, NOT FOUND, 500 MG PO LIOF P/ SOL P/ INFUS CT 10 FA VD INC, PFZ
522240202158411, ZAVEDOS, ZAVEDOS, NOT FOUND, 10 MG PO LIOF INJ CT FA VD INC (REST HOSP), PFZ
522240205157416, ZAVEDOS, ZAVEDOS, NOT FOUND, 5 MG PO LIOF INJ CT FA VD INC (REST HOSP), PFZ
522204401111311, ZOLOFT, ZOLOFT, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 14, PFZ
522204402118311, ZOLOFT, ZOLOFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 10, PFZ
522204403114318, ZOLOFT, ZOLOFT, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 10, PFZ
522204404110316, ZOLOFT, ZOLOFT, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, PFZ
522204501116315, ZOLTEC, ZOLTEC, NOT FOUND, 100 MG CAP GEL DURA CT 1 BL AL PLAS INC X 8, PFZ
522204502112313, ZOLTEC, ZOLTEC, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 1, PFZ
522204503119311, ZOLTEC, ZOLTEC, NOT FOUND, 150 MG CAP GEL DURA CT 01 BL AL PLAS INC X 02, PFZ
522204601153311, ZOLTEC, ZOLTEC, NOT FOUND, 2 MG/ML SOL INJ INFUS IV CT 06 BOLS PLAS X 100 ML, PFZ
522204504115311, ZOLTEC, ZOLTEC, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 8, PFZ
522240302152318, ZYVOX, ZYVOX, NOT FOUND, 2 MG/ML SOL INJ INFUS IV CT 10 ENV PLAS AL X BOLS PLAS X 300 ML, PFZ
522240301113319, ZYVOX, ZYVOX, NOT FOUND, 600 MG COM REV CT BL AL PLAS OPC X 10, PFZ
