522202101110216, LIPITOR, LIPITOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10 , PFZ
522202102117214, LIPITOR, LIPITOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, PFZ
522202106112411, LIPITOR, LIPITOR, NOT FOUND, 10 MG COM REV CT BL AL/AL X 90, PFZ
522202108115213, LIPITOR, LIPITOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 10 , PFZ
522202103113212, LIPITOR, LIPITOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, PFZ
522202107119411, LIPITOR, LIPITOR, NOT FOUND, 20 MG COM REV CT BL AL/AL X 90, PFZ
522202109111211, LIPITOR, LIPITOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 10 , PFZ
522202104111213, LIPITOR, LIPITOR, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, PFZ
522202105116219, LIPITOR, LIPITOR, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, PFZ
522237501158413, LEGIFOL CS, LEGIFOL CS, NOT FOUND, 10 MG/ML SOL INJ CX 10 AMP PLAS TRANS X 5 ML, PFZ
522202201115317, LOPID, LOPID, NOT FOUND, 600 MG COM REV CT BL AL PLAS INC X 24, PFZ
522212050052803, LOPID, LOPID, NOT FOUND, 900 MG COM REV CT BL AL PLAS INC X 10, PFZ
522202202111315, LOPID, LOPID, NOT FOUND, 900 MG COM REV CT BL AL PLAS INC X 12 , PFZ
522212050052903, LOPID, LOPID, NOT FOUND, 900 MG COM REV CT BL AL PLAS INC X 20, PFZ
522237701114411, LONITEN, LONITEN, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 30, PFZ
522242402111318, LYRICA, LYRICA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 10, PFZ
522242403118316, LYRICA, LYRICA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242404114314, LYRICA, LYRICA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242405110312, LYRICA, LYRICA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242406117310, LYRICA, LYRICA, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242407113319, LYRICA, LYRICA, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242408111311, LYRICA, LYRICA, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242409116315, LYRICA, LYRICA, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242410114312, LYRICA, LYRICA, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242411110310, LYRICA, LYRICA, NOT FOUND, 150 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242412117319, LYRICA, LYRICA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242413113317, LYRICA, LYRICA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242414111318, LYRICA, LYRICA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242415116313, LYRICA, LYRICA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242416112311, LYRICA, LYRICA, NOT FOUND, 200 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242417119311, LYRICA, LYRICA, NOT FOUND, 225 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242418115318, LYRICA, LYRICA, NOT FOUND, 225 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242419111316, LYRICA, LYRICA, NOT FOUND, 225 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242420111316, LYRICA, LYRICA, NOT FOUND, 225 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242421116311, LYRICA, LYRICA, NOT FOUND, 225 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242401131315, LYRICA, LYRICA, NOT FOUND, 25 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242422112311, LYRICA, LYRICA, NOT FOUND, 25 MG CAP GEL DURA CT BL AL PLAS INC X 14 , PFZ
522242423119318, LYRICA, LYRICA, NOT FOUND, 25 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242424115316, LYRICA, LYRICA, NOT FOUND, 25 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242425111314, LYRICA, LYRICA, NOT FOUND, 25 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242426118312, LYRICA, LYRICA, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242427114310, LYRICA, LYRICA, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242428110319, LYRICA, LYRICA, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242429117317, LYRICA, LYRICA, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242430115314, LYRICA, LYRICA, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242431111312, LYRICA, LYRICA, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
522242432118310, LYRICA, LYRICA, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 14, PFZ
522242433114319, LYRICA, LYRICA, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 20, PFZ
522242434110317, LYRICA, LYRICA, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 28, PFZ
522242435117315, LYRICA, LYRICA, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 30, PFZ
522242436113313, LYRICA, LYRICA, NOT FOUND, 75 MG CAP GEL DURA CT BL AL PLAS INC X 10 , PFZ
