522242502159215, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 15 FA VD INC + SOL DIL 15 FA VD INC X 30 ML (EMB HOSP), PFZ
522242503155213, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 2 FA VD INC + SOL DIL 2 FA VD INC X 30 ML (EMB HOSP), PFZ
522242504151211, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 30 FA VD INC + SOL DIL 30 FA VD INC X 30 ML (EMB HOSP), PFZ
522242501152217, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT FA VD INC + SOL DIL FA VD INC X 30 ML (EMB HOSP), PFZ
522201001112413, EPELIN, EPELIN, NOT FOUND, 30 CAPS, PFZ
522201002135417, EPELIN, EPELIN, NOT FOUND, SUSP 120 ML, PFZ
522241701174313, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6, PFZ
522241706176314, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + 3MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + 2 ATIVADORES, PFZ
522241703177311, EXUBERA, EXUBERA, NOT FOUND, 3 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6, PFZ
522242502159215, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 15 FA VD INC + SOL DIL 15 FA VD INC X 30 ML (EMB HOSP), PFZ
522242503155213, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 2 FA VD INC + SOL DIL 2 FA VD INC X 30 ML (EMB HOSP), PFZ
522242504151211, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 30 FA VD INC + SOL DIL 30 FA VD INC X 30 ML (EMB HOSP), PFZ
522242501152217, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT FA VD INC + SOL DIL FA VD INC X 30 ML (EMB HOSP), PFZ
522201001112413, EPELIN, EPELIN, NOT FOUND, 30 CAPS, PFZ
522201002135417, EPELIN, EPELIN, NOT FOUND, SUSP 120 ML, PFZ
522241701174313, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6, PFZ
522241706176314, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + 3MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + 2 ATIVADORES, PFZ
522241703177311, EXUBERA, EXUBERA, NOT FOUND, 3 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6, PFZ
522242502159215, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 15 FA VD INC + SOL DIL 15 FA VD INC X 30 ML (EMB HOSP), PFZ
522242503155213, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 2 FA VD INC + SOL DIL 2 FA VD INC X 30 ML (EMB HOSP), PFZ
522242504151211, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT 30 FA VD INC + SOL DIL 30 FA VD INC X 30 ML (EMB HOSP), PFZ
522242501152217, ECALTA, ECALTA, NOT FOUND, 100 MG PO LIOF SOL INJ CT FA VD INC + SOL DIL FA VD INC X 30 ML (EMB HOSP), PFZ
522201001112413, EPELIN, EPELIN, NOT FOUND, 30 CAPS, PFZ
522201002135417, EPELIN, EPELIN, NOT FOUND, SUSP 120 ML, PFZ
522241701174313, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6, PFZ
522241706176314, EXUBERA, EXUBERA, NOT FOUND, 1 MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + 3MG PO INAL OR CT 1 ENV X 5 BL AL/AL X 6 + INALADOR + CAMARA INALADORA + 2 ATIVADORES, PFZ
