522235401156412, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML, PFZ
522235402152410, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 150 MG/ML SUS INJ CT BL PLAS PLAS INC X SER VD INC PREENC X 1 ML + AG DESC, PFZ
522235403159419, DEPO PROVERA, DEPO PROVERA, NOT FOUND, 50 MG/ML SUS INJ CT FA VD INC X 1 ML, PFZ
522235501150416, DEPO-MEDROL, DEPO MEDROL, NOT FOUND, 40 MG/ML SUS INJ CT FA VD INC X 2 ML , PFZ
522236001119410, DOSTINEX, DOSTINEX, NOT FOUND, 0.5 MG COM CT FR VD AMB X 2, PFZ
522236002115419, DOSTINEX, DOSTINEX, NOT FOUND, 0.5 MG COM CT FR VD AMB X 8, PFZ
522234901155417, DAUNOBLASTINA, DAUNOBLASTINA, NOT FOUND, 20 MG PO LIOF INJ CT FA VD INC + DIL AMP VD INC X 10ML (USO HOSPITALAR), PFZ
522200901111318, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT FR VD AMB X 100, PFZ
522200903112419, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 100 , PFZ
522200902116313, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT FR VD AMB X 30, PFZ
522200904119417, DIABINESE, DIABINESE, NOT FOUND, 250 MG COM CT BL AL PLAS INC X 30, PFZ
522242601173313, DALACIN T, DALACIN T, NOT FOUND, 10 MG/ML SOL TOP CT FR PLAS OPC X 30 ML + APLIC, PFZ
522234804176413, DALACIN T, DALACIN T, NOT FOUND, 10 MG/ML SOL TOP CT FR VD INC X 30 ML + APLIC, PFZ
522234802157411, DALACIN C, DALACIN C, NOT FOUND, 150 MG/ML SOL INJ CT AMP VD INC X 2 ML, PFZ
522234801118412, DALACIN C, DALACIN C, NOT FOUND, 300 MG CAP GEL DURA CT BL AL PLAS INC X 16, PFZ
522236101113414, DRENOL, DRENOL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, PFZ
522235701117412, DETRUSITOL LA, DETRUSITOL LA, NOT FOUND, 4 MG CAP AP CT BL AL PLAS INC X 14  , PFZ
522235702113216, DETRUSITOL LA, DETRUSITOL LA, NOT FOUND, 4 MG CAP AP CT BL AL PLAS INC X 28, PFZ
522235703111314, DETRUSITOL LA, DETRUSITOL LA, NOT FOUND, 4 MG CAP LIB PROL CT FR PLAS OPC X 30 , PFZ
522235601112419, DETRUSITOL, DETRUSITOL, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 28, PFZ
522235602119417, DETRUSITOL, DETRUSITOL, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 28, PFZ
522235603115415, DETRUSITOL, DETRUSITOL, NOT FOUND, 2 MG COM REV CT FR PLAS OPC X 60, PFZ
