522204001156210, VFEND, VFEND, NOT FOUND, 200MG X 1 AMP, PFZ
522204002111210, VFEND, VFEND, NOT FOUND, 200MG X 14 COMP, PFZ
522204003116216, VFEND, VFEND, NOT FOUND, 50MG X 14 COMP, PFZ
522204101118213, VIAGRA, VIAGRA, NOT FOUND, 100MG X 4 COMP REV, PFZ
522204102114211, VIAGRA, VIAGRA, NOT FOUND, 25MG X 4 COMP REV, PFZ
522204105113410, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 4, PFZ
522204104117218, VIAGRA, VIAGRA, NOT FOUND, 50MG X 2 COMP REV, PFZ
522204103110211, VIAGRA, VIAGRA, NOT FOUND, 50MG X 4 COMP REV, PFZ
522204201112314, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 15 DRG, PFZ
522204202119312, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 20 COMP SOLUVEIS, PFZ
522204203115310, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 3 DRG, PFZ
522239801159411, VINCIZINA, VINCIZINA, NOT FOUND, 1 MG SOL. INJ. 5 FRASCOS-AMPOLA PLASTICOS, PFZ
522204001156210, VFEND, VFEND, NOT FOUND, 200MG X 1 AMP, PFZ
522204002111210, VFEND, VFEND, NOT FOUND, 200MG X 14 COMP, PFZ
522204003116216, VFEND, VFEND, NOT FOUND, 50MG X 14 COMP, PFZ
522204101118213, VIAGRA, VIAGRA, NOT FOUND, 100MG X 4 COMP REV, PFZ
522204102114211, VIAGRA, VIAGRA, NOT FOUND, 25MG X 4 COMP REV, PFZ
522204105113410, VIAGRA, VIAGRA, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 4, PFZ
522204104117218, VIAGRA, VIAGRA, NOT FOUND, 50MG X 2 COMP REV, PFZ
522204103110211, VIAGRA, VIAGRA, NOT FOUND, 50MG X 4 COMP REV, PFZ
522204201112314, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 15 DRG, PFZ
522204202119312, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 20 COMP SOLUVEIS, PFZ
522204203115310, VIBRAMICINA, VIBRAMICINA, NOT FOUND, 100MG 3 DRG, PFZ
