1476100170014; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE INF CT FR PLAS TRANSP X 100 ML +CP MED; NV7
1476100170073; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE AD CT FR PLAS TRANSP X 100 ML + CP MED; NV7
1476100180011; CARBOTRAT; CARBOTRAT; NOT FOUND; 20 MG/ML XPE PED CT FR PLAS TRANS X 100 ML + CP MED; NV7
1476100180079; CARBOTRAT; CARBOTRAT; NOT FOUND; 50 MG/ML XPE AD CT FR PLAS TRANS X 100 ML + CP MED; NV7
1476100210016; CETONAT; CETONAT; NOT FOUND; 20 MG/ML SHAMP CT FR PLAS X 100 ML ; NV7
1476100200010; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/ML SHAMP CT FR PLAS X 100 ML; NV7
1476100140115; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 15 MG/5ML XPE INF CT FR PET AMB  X 120 ML; NV7
1476100140190; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 30 MG/5ML XPE AD CT FR PET AMB  X 120 ML; NV7
1476100150013; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR CT FR PLAS OPC GOT X 50 ML ; NV7
1476100250018; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG / ML XPE CT FR PLAS AMB X 120 ML + CP MED ; NV7
1476100220011; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG / ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD ; NV7
1476100240012; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOSAD; NV7
