504112803118414; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 5 BL AL PLAS INC X 10; BS2
504112804114412; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 10 BL AL PLAS INC X 10; BS2
504112802111416; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 2 BL AL PLAS INC X 10; BS2
504112801115418; FLAVENOS; FLAVENOS; NOT FOUND; (450 + 50) MG COM REV CT 3 BL AL PLAS INC X 10; BS2
504113010050703; FLAVENOS; FLAVENOS; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 60; BS2
504113010050803; FLAVENOS; FLAVENOS; NOT FOUND; 450 MG + 50 MG COM REV CT BL AL PLAS INC X 90; BS2
504113401171416; FEMODIOL; FEMODIOL; NOT FOUND; 0.01 PCC CREM VAG CT BG AL X 30 G + APLIC GRAD; BS2
504113402176411; FEMODIOL; FEMODIOL; NOT FOUND; 0.01 PCC CREM VAG CT BG AL X 50 G + APLIC GRAD; BS2
504113407161412; FEMODIOL; FEMODIOL; NOT FOUND; 0.75 MG/ 1.25 G GEL CT 60 ENV POLIET X 1.25 G; BS2
504113406163411; FEMODIOL; FEMODIOL; NOT FOUND; 0.75 MG/ 1.25 G GEL CT FR PLAS OPC DOS X 80 G; BS2
504113404111414; FEMODIOL; FEMODIOL; NOT FOUND; 1 MG COM CT FR PLAS OPC X 30; BS2
504113408115414; FEMODIOL; FEMODIOL; NOT FOUND; 1 MG COM CT STR X 30 ; BS2
504113405116411; FEMODIOL; FEMODIOL; NOT FOUND; 2 MG COM CT 3 STR X 10; BS2
504113409111412; FEMODIOL; FEMODIOL; NOT FOUND; 2 MG COM CT FR PLAS OPC X 30; BS2
504102901133410; FLUOTRAT; FLUOTRAT; NOT FOUND; 0.5 GRAMA SOL CT FR VD INC X 240 M; BS2
504102902164417; FLUOTRAT; FLUOTRAT; NOT FOUND; 2.5MG GEL CT BG AL X 50 GRAMA; BS2
504114090052303; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS TRANS X 60; BS2
504114100052703; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS TRANS X 90; BS2
504112701110414; FLUX; FLUX; NOT FOUND; 1.5 MG COM REV CT 2 BL AL PLAS INC X 15 ; BS2
