506401101178411; CALAMED; CALAMED; NOT FOUND; 80 MG/ML + 10 MG/ML + 1 MG/ML LOCAO CT FR PLAS OPC X 100 ML; CM5
506401102174411; CALAMED; CALAMED; NOT FOUND; 80 MG/G + 10 MG/G + 0.9 MG/G SUS AEROSOL FR SPRAY AL OPC X 120 G; CM5
506401103162415; CALAMED; CALAMED; NOT FOUND; 80 MG/G + 10 MG/G + 1 MG/G CREME CT BG AL X 28 G; CM5
506401305113415; CAPTOMED; CAPTOMED; NOT FOUND; 12.5 MG COM CT 50 BL AL PLAS INC X 20; CM5
506401301118412; CAPTOMED; CAPTOMED; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 20; CM5
506401302114410; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 20; CM5
506411501111117; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; CM5
506401306111416; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20; CM5
506401304117417; CAPTOMED; CAPTOMED; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; CM5
506411502116112; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 60; CM5
506401307116411; CAPTOMED; CAPTOMED; NOT FOUND; 50 MG COM CT 50 BL AL PLAS INC X 20; CM5
506401303110419; CAPTOMED; CAPTOMED; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; CM5
506401401139421; CARBOCIN; CARBOCIN; NOT FOUND; 20 MG/ML XPE PED CT FR VD AMB; CM5
506407301136118; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML; CM5
506412040024906; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PLAS AMB X 100 ML ; CM5
506401402135428; CARBOCIN; CARBOCIN; NOT FOUND; 50 MG/ML XPE ADULTO CT FR VD; CM5
506407302132116; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML; CM5
506412040024806; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PLAS AMB X 100 ML ; CM5
506402801130411; COLUTOIDE; COLUTOIDE; NOT FOUND; 25 MG/ML + 15 MG/ML + 15 MG/ML SUS OR CT FR VD AMB X 20 ML; CM5
506413110027906; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ ML PO P/ SUS OR CT FR VD AMB X 100 ML + CP MED; CM5
506409001113119; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8; CM5
506401503136411; CEFACIMED; CEFACIMED; NOT FOUND; 250 MG/5 ML PO PREP EXT CT FR VD AMB X 100 ML ; CM5
506401502131416; CEFACIMED; CEFACIMED; NOT FOUND; 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML  ; CM5
506401501117411; CEFACIMED; CEFACIMED; NOT FOUND; 500 MG CAP GEL DURA CT  BL AL PLAS INC X 8 ; CM5
506402202164414; CIMECORT; CIMECORT; NOT FOUND; 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X 15 G; CM5
506402201168416; CIMECORT; CIMECORT; NOT FOUND; 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X 30 G; CM5
506408102161110; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; CM5
506408502161411; CLEARTOP; CLEARTOP; NOT FOUND; 20 MG/ G CREM CT BG AL X 30 G ; CM5
