530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS DE 0.40 G, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, DRAGEAS - CX COM 30 DRAGEAS, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, 100 MG + 40 MG + 40 MG DRG CT BL AL PLAS INC X 30, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, 100 MG + 40 MG DRG CT 3 BL AL PLAST INC X 10, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
530401501111315, MONOTREAN B6, MONOTREAN B6, NOT FOUND, 100 MG + 40 MG + 40 MG DRG CT BL AL PLAS INC X 30, DCS
530401401115319, MONOTREAN, MONOTREAN, NOT FOUND, 100 MG + 40 MG DRG CT 3 BL AL PLAST INC X 10, DCS
530401102118413, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 10 MG, DCS
530401103114411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 20 MG, DCS
530401104110411, MEVALOTIN, MEVALOTIN, NOT FOUND, CAIXA COM 30 COMPRIMIDOS DE 40 MG, DCS
