523703401115111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 10 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 14, LIB
523712080025906, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 14, LIB
523703403118118, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 28, LIB
523703402111111, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 7, LIB
523703404114116, OMEPRAZOL, OMEPRAZOL, OMEPRAZOL, 40 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 7, LIB
523708402152410, OXALIBBS, OXALIBBS, NOT FOUND, 100 MG PO LIOF INJ CT FA VD INC, LIB
523708401156412, OXALIBBS, OXALIBBS, NOT FOUND, 50 MG PO LIOF INJ CT FA VD INC, LIB
523703501152418, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FR VD INC X 16.7 ML, LIB
523713080028803, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD AMB X 16.7 ML, LIB
523703504151412, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 25 ML  , LIB
523713080028903, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD AMB X 25 ML, LIB
523703502159416, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 5 ML  , LIB
523713080028703, ONTAX, ONTAX, NOT FOUND, 6 MG/ML SOL INJ CT FA VD AMB X 5 ML, LIB
