523704601118414, SELECTA, SELECTA, NOT FOUND, 0.45 MG + 1.5 MG COM REV CT BL AL PLAS INC X 28 CALEND, LIB
523704702119416, SELIMAX, SELIMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 03, LIB
523704705118410, SELIMAX, SELIMAX, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 09, LIB
523704703131411, SELIMAX, SELIMAX, NOT FOUND, 600 MG PO PREP EXTEMP CT FR PLAS OPC + 15 ML DIL  (40 MG/ML APOS REC), LIB
523704704138418, SELIMAX, SELIMAX, NOT FOUND, 900 MG PO PREP EXTEMP CT 01 FR PLAS OPC X 22.5 ML (40 MG/ML APOS REC), LIB
523712110026004, STANGLIT, STANGLIT, NOT FOUND, 15 MG COM CT FR PLAS OPC X 30, LIB
523712110026104, STANGLIT, STANGLIT, NOT FOUND, 30 MG COM CT FR PLAS OPC X 30, LIB
523712110026204, STANGLIT, STANGLIT, NOT FOUND, 45 MG COM CT FR PLAS OPC X 30, LIB
523704801117411, SENSITRAM, SENSITRAM, NOT FOUND, 100 MG COM REV LIB RETARD CT BL AL PLAS INC X 10, LIB
523704802113411, SENSITRAM, SENSITRAM, NOT FOUND, 100 MG COM REV LIB RETARD CT BL AL PLAS INC X 30, LIB
523704901111415, SIBLIMA, SIBLIMA, NOT FOUND, 0.015 MG + 0.060 MG COM REV CT BL AL PLAS INC CALEND X 24, LIB
523704902118413, SIBLIMA, SIBLIMA, NOT FOUND, 0.015 MG + 0.060 MG COM REV CT 3 BL AL PLAS INC CALEND X 24, LIB
523708202110315, STAVIGILE, STAVIGILE, NOT FOUND, 100 MG COMP CT BL AL PLAS INC X 10, LIB
523708203117313, STAVIGILE, STAVIGILE, NOT FOUND, 100 MG COMP CT BL AL PLAS INC X 30, LIB
523708201114317, STAVIGILE, STAVIGILE, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 30, LIB
523714110031005, SUMAXPRO, SUMAXPRO, NOT FOUND, 50 MG + 500 MG COM REV CT BL AL AL X 02 , LIB
523714110031105, SUMAXPRO, SUMAXPRO, NOT FOUND, 85 MG + 500 MG COM REV CT BL AL AL X 02 , LIB
523705001114416, SUMAX, SUMAX, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 2, LIB
523705006175413, SUMAX, SUMAX, NOT FOUND, 100 MG/ML SOL NAS CT FR PLAS OPC SPRAY X 0.2 ML, LIB
523705002110414, SUMAX, SUMAX, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 4, LIB
523705004156411, SUMAX, SUMAX, NOT FOUND, 6.0 MG/0.5 ML SOL INJ CT SER X 0.5 ML, LIB
523705003117412, SUMAX, SUMAX, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 2, LIB
