523704301114413, REPOGEN CICLO, REPOGEN CICLO, NOT FOUND, 0.625 MG + 5MG COM VER + 0.625MG COM VER CT BL AL PLAS INC X 14 + 14, LIB
523704401119417, REPOGEN CONTI, REPOGEN CONTI, NOT FOUND, 0.625 MG + 2.5 MG COM REV CT BL AL PLAS INC X 28, LIB
523704201111412, REPOGEN, REPOGEN, NOT FOUND, 0.625 MG COM REV CT BL AL PLAS INC X 28, LIB
523714060030204, RECONTER, RECONTER, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 15 ML , LIB
523714060030304, RECONTER, RECONTER, NOT FOUND, 20 MG/ML SOL OR CT FR VD AMB X 30 ML, LIB
523714060030004, RECONTER, RECONTER, NOT FOUND, 15 MG COM REV CT BL AL PLAS INC X 10 , LIB
523714060030104, RECONTER, RECONTER, NOT FOUND, 15 MG COM REV CT BL AL PLAS INC X 30, LIB
523709102111415, RECONTER, RECONTER, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 10, LIB
523709103116410, RECONTER, RECONTER, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 30, LIB
523709101113414, RECONTER, RECONTER, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, LIB
523713070028306, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 10 MG COM REV CT BL AL AL X 30 , LIB
523713070028406, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, ROSUVASTATINA CALCICA, 20 MG COM REV CT BL AL AL X 30 , LIB
