531300403110315; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 15; SVR
531300404117313; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 30; SVR
531300405113311; DAFLON 500; DAFLON 500; NOT FOUND; 450 + 50 MG COM REV CT BL AL PLAS INC X 60; SVR
531313100006003; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 10; SVR
531313100006103; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 20; SVR
531313100006203; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 30; SVR
531313100006303; DAFLON 1000; DAFLON 1000; NOT FOUND; 900 + 100 MG COM REV OR CT BL AL PLAS TRANS X 60; SVR
531300601117316; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 15; SVR
531300602113314; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CX BL AL PLAS INC X 30; SVR
531300603111315; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 30 MG COM CX BL AL PLAS INC X 60; SVR
531300604116310; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 15; SVR
531300605112319; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 30; SVR
531300504111317; DIAMICRON MR; DIAMICRON MR; NOT FOUND; 60 MG COM LIB PROL CX CT BL AL PLAS INC X 60; SVR
