513403307159417, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403303153414, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC MONOVIAL, I_B
513403308155415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403304151415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC MONOVIAL, I_B
513403309151413, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403301150418, MEPENOX, MEPENOX, NOT FOUND, 1G CX. C/ 10 FA, I_B
513403310151413, MEPENOX, MEPENOX, NOT FOUND, 1G PO INJ CX 50 FA VD INC , I_B
513403311156419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403305156410, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC MONOVIAL, I_B
513403312152417, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403306152419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC MONOVIAL, I_B
513403313159415, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC , I_B
513403314155413, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403302157416, MEPENOX, MEPENOX, NOT FOUND, 500MG CX. C/ 10 FA, I_B
513404601158412, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 10 AMP VD INC X 10 ML, I_B
513404603150419, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 10 AMP VD INC X 3 ML, I_B
513404602154410, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML, I_B
513404604157417, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML, I_B
513404605153415, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 50 AMP VD INC X 10 ML (REST HOSP), I_B
513404606151416, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (REST HOSP), I_B
513405003157410, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CT 01 FA VD INC, I_B
513405002150412, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CT 1 FA VD INC + 1 DIL X 6 ML, I_B
513405001154414, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CX 50 FA VD INC, I_B
513405004153419, MONOCEF, MONOCEF, NOT FOUND, 750 MG PO INJ IM/IV CX 50 FA VD INC + 50 DIL X 6 ML, I_B
513403701159412, MORFENIL, MORFENIL, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD AMB X 1 ML (REST HOSP), I_B
513403702155410, MORFENIL, MORFENIL, NOT FOUND, 10 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (REST HOSP), I_B
513403307159417, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403303153414, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CT FA VD INC MONOVIAL, I_B
513403308155415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403304151415, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 10 FA VD INC MONOVIAL, I_B
513403309151413, MEPENOX, MEPENOX, NOT FOUND, 1 G PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403301150418, MEPENOX, MEPENOX, NOT FOUND, 1G CX. C/ 10 FA, I_B
513403310151413, MEPENOX, MEPENOX, NOT FOUND, 1G PO INJ CX 50 FA VD INC , I_B
513403311156419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC + BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403305156410, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CT FA VD INC MONOVIAL, I_B
513403312152417, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC + 10 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403306152419, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 10 FA VD INC MONOVIAL, I_B
513403313159415, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC , I_B
513403314155413, MEPENOX, MEPENOX, NOT FOUND, 500 MG PO INJ CX 50 FA VD INC + 50 BOLS PVC FLEX X 100ML (SIST FEC) (EMB HOSP), I_B
513403302157416, MEPENOX, MEPENOX, NOT FOUND, 500MG CX. C/ 10 FA, I_B
513404601158412, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 10 AMP VD INC X 10 ML, I_B
513404603150419, MIDADORM, MIDADORM, NOT FOUND, 5 MG/ML SOL INJ CT 10 AMP VD INC X 3 ML, I_B
