513402703158415, TACLIPAXOL, TACLIPAXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML ( REST HOSP), I_B
513402701155419, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 100 MG 17 ML, I_B
513402702151417, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 30 MG 5 ML, I_B
513404901151413, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CT FA VD INC, I_B
513404902158411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404903154411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 50 FA VD INC, I_B
513404904150418, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CT FA VD INC, I_B
513404905157416, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404906153414, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 50 FA VD INC, I_B
513402801151415, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 200 MG, I_B
513402802156410, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 400 MG, I_B
513403404154416, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT 10 FA VD INC, I_B
513403405150414, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FA VD INC + BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403401155411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FR VD INC MONOVIAL, I_B
513403402151411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FR VD INC X 20 ML, I_B
513403406157412, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 10 FA VD INC + 10 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403407153410, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 50 FA VD INC (EMB HOSP), I_B
513403408151411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 50 FA VD INC + 50 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403403158418, TIEPEM, TIEPEM, NOT FOUND, 500 MG/500 MG PO INJ IV CT FA X 120 ML + DIL, I_B
513402703158415, TACLIPAXOL, TACLIPAXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML ( REST HOSP), I_B
513402701155419, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 100 MG 17 ML, I_B
513402702151417, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 30 MG 5 ML, I_B
513404901151413, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CT FA VD INC, I_B
513404902158411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404903154411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 50 FA VD INC, I_B
513404904150418, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CT FA VD INC, I_B
513404905157416, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404906153414, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 50 FA VD INC, I_B
513402801151415, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 200 MG, I_B
513402802156410, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 400 MG, I_B
513403404154416, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT 10 FA VD INC, I_B
513403405150414, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FA VD INC + BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403401155411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FR VD INC MONOVIAL, I_B
513403402151411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FR VD INC X 20 ML, I_B
513403406157412, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 10 FA VD INC + 10 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403407153410, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 50 FA VD INC (EMB HOSP), I_B
513403408151411, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CX 50 FA VD INC + 50 BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
513403403158418, TIEPEM, TIEPEM, NOT FOUND, 500 MG/500 MG PO INJ IV CT FA X 120 ML + DIL, I_B
513402703158415, TACLIPAXOL, TACLIPAXOL, NOT FOUND, 6 MG/ML SOL INJ CT FA VD INC X 50 ML ( REST HOSP), I_B
513402701155419, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 100 MG 17 ML, I_B
513402702151417, TACLIPAXOL, TACLIPAXOL, NOT FOUND, CX. C/ 1 FR. 30 MG 5 ML, I_B
513404901151413, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CT FA VD INC, I_B
513404902158411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404903154411, TAZOCILINA, TAZOCILINA, NOT FOUND, 2 G + 250 MG PO LIOF INJ CX 50 FA VD INC, I_B
513404904150418, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CT FA VD INC, I_B
513404905157416, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 10 FA VD INC, I_B
513404906153414, TAZOCILINA, TAZOCILINA, NOT FOUND, 4 G + 500 MG PO LIOF INJ CX 50 FA VD INC, I_B
513402801151415, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 200 MG, I_B
513402802156410, TEICONIN, TEICONIN, NOT FOUND, CX.C/ 1 FA + DIL 400 MG, I_B
513403404154416, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT 10 FA VD INC, I_B
513403405150414, TIEPEM, TIEPEM, NOT FOUND, 500 MG + 500 MG PO INJ IV CT FA VD INC + BOLS PVC TRANS X 100 ML (SIST FECH) (EMB HOSP), I_B
