268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508302916137111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
282881; ROSUVASTATINA; ROSUVASTATINA; CALCICA. 10 MG COMPRIMIDO; NO_ACR;507745901114414; ROSUVAST; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; EMS
375474; CLORETO SODIO; NOT FOUND; 0.9 %. SPRAY NASAL FRASCO 10.00 ML; NO_ACR;511201001151419; CLORETO SODIO; NOT FOUND; AMP 10ML 0.9%; H_I
278482; PRIMIDONA; PRIMIDONA; 250 MG COMPRIMIDO; NO_ACR;501602305111416; PRIMID; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 90; APS
268236; CLORETO SODIO; NOT FOUND; 0.9%_ SOLUCAO INJETAVEL. SISTEMA FECHADO AMPOLA 20.00 ML; NO_ACR;539013100004003; CLORETO SODIO; NOT FOUND; 0.9% SOL INJ CX 50 AMP PLAS TRANS X 20 ML (EMB HOSP); STT
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;510409203131111; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; GOB
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;508302907138117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 10 ML (EMB HOSP); FM_
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;525013100103406; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML; MD7
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;528502507138121; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED; PZ8
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL AMPOLA 2.00 ML; NO_ACR;519003502158111; DIPIRONA SODICA; NOT FOUND; INJ 500MG/ML (CX C/50 AMP C/2ML); N_Q
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;528502508134128; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CX 50 FR VD AMB X 100 ML + CP MED (EMB HOSP); PZ8
267206; DIPIRONA SODICA; NOT FOUND; 50 MG/ML. SOLUCAO ORAL FRASCO 100.00 ML; NO_ACR;520713060087806; DIPIRONA SODICA; NOT FOUND; 50MG/ML SOL OR CT FR PET AMB X 100ML + COP MED; TTB
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 20.00 ML; NO_ACR;508013401138120; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EUF
268252; DIPIRONA SODICA; NOT FOUND; 500 MG/ML. SOLUCAO INJETAVEL FRASCO 10.00 ML; NO_ACR;538802103137117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;520709502131123; DIPIRONA SODICA; NOT FOUND; 500MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); TTB
272835; RIBAVIRINA; RIBAVIRINA; 250 MG COMPRIMIDO; NO_ACR;504403502114411; RIBAVIRIN; NOT FOUND; 250 MG CAP GEL DURA CT FR PLAS OPC X 40; BU_
275475; DIPIRONA SODICA; NOT FOUND; ASSOCIADA A ADIFENINA E PROMETAZINA. 500MG + 10MG + 5MG COMPRIMIDO; NO_ACR;510409204111112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;508302908134115; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CX 100 FR VD AMB GOT X 20 ML (EMB HOSP); FM_
267203; DIPIRONA SODICA; NOT FOUND; 500 MG FRASCO 20.00 ML; NO_ACR;508302904139112; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; FM_
267203; DIPIRONA SODICA; NOT FOUND; 500 MG DRÁGEA; NO_ACR;510409204111112; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 100 (EMB MULT); GOB
