73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, BF8,504612001118112, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, BF8
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, BF8,504612002114110, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 25, BF8
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, BF8,504612002114110, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, BF8
73800, ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, BF8,504612001118112, ACICLOVIR, ACICLOVIR, 200MG COM CT BL AL PLAS INC X 10, BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600102119110, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 21, BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600202113114, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 50MG/ML + 12.5MG/ML PO SUS OR CT FR PLAS OPC X 75ML, BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG C/ 18 CPR., BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600203111115, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500 MG + 125 MG COM REV CT STR AL/AL X 18, BF8
63868, AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), BF8,504600101139118, AMOXICILINA, AMOXICILINA, 50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML, BF8
63812, AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6, BF8,504600201117116, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 500MG+125MG COM REV CT 1 STR AL/AL X 6, BF8
