135042; ELIQUIS; NOT FOUND; CPR REVEST 5 MG x 20; BMS;505113090020002; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 20 ; BMS
159926; ORALSEPT; NOT FOUND; POM BUCAL 1 MG 10 G x 1 (/G); ELO;517113110013804; ORALSEPT; NOT FOUND; 1 MG/G PAST CT BG AL X 10G; ELO
72916; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; SDZ;511511304118112; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60 ; SDZ
77193; CINARIX; NOT FOUND; CPR 75 MG x 500; ROY;530201603113411; CINARIX; NOT FOUND; 75 MG COM CT 50 BL AL PLAS INC X 10; ROY
80915; AMOXICILINA; AMOXICILINA; CAPS 875 MG x 14; A4H;500514104114118; AMOXICILINA; AMOXICILINA; 875 MG COM CT BL AL PLAS TRANS X 14; A4H
52674; NAROPIN; NOT FOUND; POLYAMP SP 10 MG 20 ML x 5 (/ML); AZN;502302602151311; NAROPIN; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP PLAS X 20 ML EST INDIV ESTEREIS; AZN
65179; OMEZOLON; NOT FOUND; CAPS 40 MG x 7; HPO;511605304111411; OMEZOLON; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; HPO
78506; FLODIN DUO; NOT FOUND; CPR LG 150 MG x 4; ZD1;534203304116311; FLODIN DUO; NOT FOUND; 150 MG COM DESINT LENT CT BL AL PLAS BR X 4; ZD1
70760; CIPROBACTER; NOT FOUND; SOL INJ BOLS 2 MG 100 ML x 1 (/ML); IS5;514301901157416; CIPROBACTER; NOT FOUND; 2MG/ML SOL INJ ENV AL BOLS PLAS TRANS (SIST FEC) X 100 ML; IS5
72731; PROPARK; NOT FOUND; CPR 2 MG x 75; U_Q;533019401114413; PROPARK; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 75; U_Q
74208; BUTILB ESCOPOLA; BUTILBROMETO ESCOPOLAMINA; AMP. 20 MG 1 ML x 50; U_Q;533021202158110; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 20 MG/ML SOL INJ CT 50 AMP VD AMB X 1 ML (EMB HOSP); U_Q
75254; RAPITRAM; NOT FOUND; AMP. 50 MG 2 ML x 5 (/ML); SPI;532412070007914; RAPITRAM; NOT FOUND; 50 MG/ML SOL INJ CT 5 AMP VD INC X 2 ML; SPI
72626; LABIRIN; NOT FOUND; CPR 16 MG x 60; APS;501601207114412; LABIRIN; NOT FOUND; 16 MG COM CT 3 BL AL PLAS INC X 20; APS
75651; LIPIBLOCK; NOT FOUND; CAPS 120 MG x 84; GM2;526136102110414; LIPIBLOCK; NOT FOUND; 120 MG CAP GEL DURA CT BL AL PLAS OPC X 84; GM2
78149; CLENIL HFA; NOT FOUND; SPRAY AERO 250 Y x 200 (/DOS); CHS;508503810174314; CLENIL HFA; NOT FOUND; 250 MCG/DOSE SOL AER CT TB AL + ESPAC JET X 200 DOSES ; CHS
75420; PRADAXA; NOT FOUND; CAPS 75 MG x 10; B_I;504505101119316; PRADAXA; NOT FOUND; 75 MG CAP DURA CT BL AL/AL X 10 ; B_I
114781; AMLODIL; NOT FOUND; CPR 5 MG x 500; VAP;533500504111418; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); VAP
