1029401320050; PYLORISET; PYLORISET; NOT FOUND; (30+500+500)MG CAP GEL DURA + COM REV + CAP GEL DURA CT BL AL PLAS X 14+14+28  ; N2E
1029400970051; PRADINOLOL; PRADINOLOL; NOT FOUND; 40 MG COM CT 2 BL AL PLAS INC X 20; N2E
1029400970027; PRADINOLOL; PRADINOLOL; NOT FOUND; 40 MG COM CT 4 BL AL PLAS INC X 10; N2E
1029400970035; PRADINOLOL; PRADINOLOL; NOT FOUND; 80 MG COM CT 2 BL AL PLAS INC X 10; N2E
1029400970019; PRADINOLOL; PRADINOLOL; NOT FOUND; COMP 40MG (CX C/03 BL C/10); N2E
1029400970043; PRADINOLOL; PRADINOLOL; NOT FOUND; COMP 80MG (CX C/03 BL C/10); N2E
1029400970043; PRADINOLOL; PRADINOLOL; NOT FOUND; 80 MG COM CT 3 BL AL PLAS INC X 10; N2E
1029400970019; PRADINOLOL; PRADINOLOL; NOT FOUND; 40 MG COM CT 3 BL  AL PLAS INC X 10; N2E
1029401190017; PRAMIDALIN; PRAMIDALIN; NOT FOUND; COMP 250MG (CX C/10 BL C/10); N2E
1029401190025; PRAMIDALIN; PRAMIDALIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 30; N2E
1029401190033; PRAMIDALIN; PRAMIDALIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 500 ; N2E
1029401420012; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; N2E
1029401240073; PIROXINID; PIROXINID; NOT FOUND; INJ 40MG (CX C/2 AMP C/2ML); N2E
1029401240081; PIROXINID; PIROXINID; NOT FOUND; INJ 40MG (CX C/50 AMP C/2ML); N2E
1029401240065; PIROXINID; PIROXINID; NOT FOUND; GTS 10MG/ML (CX C/50 FR C/15ML); N2E
1029401240057; PIROXINID; PIROXINID; NOT FOUND; GTS 10MG/ML (FR C/15ML); N2E
1029401240014; PIROXINID; PIROXINID; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 15; N2E
1029401240022; PIROXINID; PIROXINID; NOT FOUND; CAP 10MG (CX C/30 BL C/15); N2E
1029401240030; PIROXINID; PIROXINID; NOT FOUND; 20 MG CAP GEL DURA CT  BL AL PLAS INC X 15; N2E
1029401240049; PIROXINID; PIROXINID; NOT FOUND; CAP 20MG (CX C/30 BL C/15); N2E
