1029401370015; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10G ; N2E
1029400900010; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; N2E
1029400770036; ALBENZONIL; ALBENZONIL; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; N2E
1029400770044; ALBENZONIL; ALBENZONIL; NOT FOUND; SUS 40MG/ML (CX C/50 FR C/10ML); N2E
1029401360011; ALBENDAZOL; ALBENDAZOL; ALBENDAZOL; 400 MG COM MAST CT BL AL PLAS INC X 1 ; N2E
1029400770028; ALBENZONIL; ALBENZONIL; NOT FOUND; COMP 200 MG (CX C/01 BL C/02); N2E
1029400770011; ALBENZONIL; ALBENZONIL; NOT FOUND; COMP MAST 400 MG (CX C/01 BL C/01); N2E
1029400770109; ALBENZONIL; ALBENZONIL; NOT FOUND; COMP 200MG (CX C/250 BL C/02); N2E
1029400770087; ALBENZONIL; ALBENZONIL; NOT FOUND; COMP 400MG (CX C/250 BL C/01); N2E
1029401030011; ASMOQUINOL; ASMOQUINOL; NOT FOUND; 24 MG/ML SOL INJ CT 50 AMP VD INC X 10 ML; N2E
1029401030044; ASMOQUINOL; ASMOQUINOL; NOT FOUND; COMP 200MG (CX C/02 BL C/10); N2E
1029401030052; ASMOQUINOL; ASMOQUINOL; NOT FOUND; COMP 200MG (CX C/50 BL C/10); N2E
1029401440013; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50MG/ML PO P/ SUS OR CT FR VD AMB X 60 ML + CP MED ; N2E
1029401280059; AMPILOZIN; AMPILOZIN; NOT FOUND; PO INJ 500MG (CX C/50 FR AMP); N2E
1029401280032; AMPILOZIN; AMPILOZIN; NOT FOUND;  250 MG/5ML  PO SUS OR CT FR VD AMB X 60 ML; N2E
1029401280040; AMPILOZIN; AMPILOZIN; NOT FOUND; PO SUS ORAL 250MG/ML (CX C/50 VD C/60ML); N2E
1029401280016; AMPILOZIN; AMPILOZIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; N2E
1029401280024; AMPILOZIN; AMPILOZIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 ( EMB HOSP); N2E
1029400580032; AURIDONAL; AURIDONAL; NOT FOUND; 125 MG/5ML SUS OR CT FR VD AMB X 100 ML; N2E
1029400580016; AURIDONAL; AURIDONAL; NOT FOUND; OTOLOGICO 6MG/ML (FR C/10ML); N2E
1029401070100; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 10MG (CX C/2 BL C/15); N2E
1029401070097; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 10MG (CX C/25 BL C/20); N2E
1029401070011; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 2.5MG (CX C/1 BL C/20); N2E
1029401070046; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 2.5MG (CX C/25 BL C/20); N2E
1029401070038; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 2.5MG (CX C/3 BL C/20); N2E
1029401070054; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 5.0MG (CX C/1 BL C/20); N2E
1029401070089; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 5.0MG (CX C/2 BL C/15); N2E
1029401070062; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 5.0MG (CX C/25 BL C/20); N2E
1029401070070; ANGINIDE; ANGINIDE; NOT FOUND; COMP SUB-LING. 5.0MG (CX C/3 BL C/20); N2E
1029400990011; ACNAZOL; ACNAZOL; NOT FOUND; INJ 150MG/ML (CX C/1 AMP C/2ML); N2E
1029400990036; ACNAZOL; ACNAZOL; NOT FOUND; INJ 150MG/ML (CX C/1 AMP C/4ML); N2E
1029400990028; ACNAZOL; ACNAZOL; NOT FOUND; INJ 150MG/ML (CX C/50 AMP C/2ML); N2E
1029400990044; ACNAZOL; ACNAZOL; NOT FOUND; INJ 150MG/ML (CX C/50 AMP C/4ML); N2E
1029401170024; ALERGONIL; ALERGONIL; NOT FOUND; 0.4 MG/ML SOL OR CT FR VD AMB X 100 ML; N2E
1029401170016; ALERGONIL; ALERGONIL; NOT FOUND; SOL ORAL 2MG/5ML(CX C/50 FRC C/100ML); N2E
1029401170040; ALERGONIL; ALERGONIL; NOT FOUND; 2.0 MG COM CT 2 BL AL PLAS INC X 10 ( EMB HOSP) ; N2E
1029401170032; ALERGONIL; ALERGONIL; NOT FOUND; COMP 2MG (CX C/50 BL C/10); N2E
1029400580040; ANFENICOL; ANFENICOL; NOT FOUND; COLIRIO 4MG/ML (FR C/10ML); N2E
1029401150023; ACETAMIL; ACETAMIL; NOT FOUND; GTS 200MG/ML (CX C/50 FR C/20ML); N2E
1029401150015; ACETAMIL; ACETAMIL; NOT FOUND; GTS 200MG/ML (FR C/20ML); N2E
1029401150090; ACETAMIL; ACETAMIL; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; N2E
1029401150058; ACETAMIL; ACETAMIL; NOT FOUND; COMP 750MG (CX C/25 BL C/4); N2E
1029401150031; ACETAMIL; ACETAMIL; NOT FOUND; COMP 750MG (CX C/5 BL C/4); N2E
1029401150066; ACETAMIL; ACETAMIL; NOT FOUND; 750 MG COM CT 50 BL AL PLAS AMB X 4; N2E
