1029400820017; FEMINEO; FEMINEO; NOT FOUND; INJ (CX C/12 AMP C/1ML); N2E
1029400820025; FEMINEO; FEMINEO; NOT FOUND; INJ (CX C/1 AMP C/1ML); N2E
1029400870030; FONERGORAL; FONERGORAL; NOT FOUND; 1.5 MG COLUT CT ENV FR VD INC X 150 ML ; N2E
1029400870022; FONERGORAL; FONERGORAL; NOT FOUND; 3.0 MG PAST CT ENV KRAFT POLIET X 12 (SABOR LARANJA); N2E
1029400870014; FONERGORAL; FONERGORAL; NOT FOUND; 3 MG PAST CT ENV KRAFT POLIET X 12; N2E
1029401020014; FISIOREN; FISIOREN; NOT FOUND; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; N2E
1029401020022; FISIOREN; FISIOREN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (EMB HOSP); N2E
1029401020030; FISIOREN; FISIOREN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; N2E
1029401020081; FISIOREN; FISIOREN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 10 ML; N2E
1029401020049; FISIOREN; FISIOREN; NOT FOUND; GTS 15MG/ML (CX C/ 50 FR C/20ML); N2E
1029401020073; FISIOREN; FISIOREN; NOT FOUND; 15 MG/ML SUS OR CT 50 FR PLAS OPC GOT X 10; N2E
1029401020057; FISIOREN; FISIOREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; N2E
1029401020065; FISIOREN; FISIOREN; NOT FOUND; 50 MG COM REV CT 25 BL AL PLAS INC X 20 (EMB HOSP); N2E
1029401160061; FLUCCIL; FLUCCIL; NOT FOUND; INJ 10MG (CX C/50 AMP C/2ML); N2E
1029401160053; FLUCCIL; FLUCCIL; NOT FOUND; INJ 10MG (CX C/100 AMP C/2ML); N2E
1029401160045; FLUCCIL; FLUCCIL; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; N2E
1029401160037; FLUCCIL; FLUCCIL; NOT FOUND; GTS 4MG/ML (CX C/50 FR C/10ML); N2E
1029401160029; FLUCCIL; FLUCCIL; NOT FOUND; COMP 10 MG (CX C/1 BL C/20); N2E
1029401160010; FLUCCIL; FLUCCIL; NOT FOUND; COMP 10MG (CX C/25 BL C/20); N2E
