1029400670041; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 2 AMP VD INC X 1 ML; N2E
1029400670031; DEXANIL; DEXANIL; NOT FOUND; 2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP); N2E
1029400670015; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML  SOL INJ CT FR AMP VD INC X 2.5 ML; N2E
1029400670023; DEXANIL; DEXANIL; NOT FOUND; 4.0 MG/ML  SOL INJ CT 50 FR AMP VD INC X 2.5 ML ( EMB HOSP); N2E
1029400550011; DEXANIL; DEXANIL; NOT FOUND; CREME 0.1% (BISN C/15GR); N2E
1029400670066; DEXANIL; DEXANIL; NOT FOUND; COMP 0.5MG (CX C/01 BL C/20); N2E
1029400670058; DEXANIL; DEXANIL; NOT FOUND; COMP 0.5MG (CX C/25 BL C/10); N2E
1029401230027; DUCTOVIRAX; DUCTOVIRAX; NOT FOUND; 50 MG/G CT BG AL X 10 G; N2E
1029401230019; DUCTOVIRAX; DUCTOVIRAX; NOT FOUND; 200 MG COM CT 5 BL AL PLAS INC X 5; N2E
1029401340043; DUCTOCILINA; DUCTOCILINA; NOT FOUND; 250MG/5ML PO SUSP OR CT 50 FR VD AMB X 150 ML; N2E
1029401340051; DUCTOCILINA; DUCTOCILINA; NOT FOUND; 250MG/5ML PO SUSP OR CT 50 FR VD AMB X 60ML; N2E
1029401340035; DUCTOCILINA; DUCTOCILINA; NOT FOUND; 250MG/5ML PO SUSP OR CT FR VD AMB X 150 ML; N2E
1029401340019; DUCTOCILINA; DUCTOCILINA; NOT FOUND; 500 MG CAP GEL DURA CT 2 BL AL PLAS INC X 6; N2E
1029401340027; DUCTOCILINA; DUCTOCILINA; NOT FOUND; 500 MG CAP GEL DURA CT 50 BL AL PLAS INC X 10; N2E
1029400830012; DICLOFETAMOL; DICLOFETAMOL; NOT FOUND; COMP (CX C/03 BL C/10); N2E
1029400830020; DICLOFETAMOL; DICLOFETAMOL; NOT FOUND; COMP (CX C/25 BL C/4); N2E
1029400920011; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 12.5MG (CX C/01 BL C/15); N2E
1029400920151; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 12.5MG (CX C/01 BL C/30); N2E
1029400920038; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 12.5MG (CX C/04 BL C/15); N2E
1029400920046; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 12.5MG (CX C/50 BL C/10); N2E
1029400920054; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 25MG (CX C/01 BL C/14); N2E
1029400920062; DUCTOPRIL; DUCTOPRIL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 16; N2E
1029400920070; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 25MG (CX C/02 BL C/14); N2E
1029400920089; DUCTOPRIL; DUCTOPRIL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 16; N2E
1029400920097; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 25MG (CX C/50 BL C/10); N2E
1029400920100; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 50MG (CX C/01 BL C/14); N2E
1029400920119; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 50MG (CX C/01 BL C/16); N2E
1029400920127; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 50MG (CX C/02 BL C/14); N2E
1029400920135; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 50MG (CX C/02 BL C/16); N2E
1029400920143; DUCTOPRIL; DUCTOPRIL; NOT FOUND; COMP 50MG (CX C/50 BL C/10); N2E
1029401350014; DUCTOGERON; DUCTOGERON; NOT FOUND; 25 MG COM CT  BL AL PLAS INC X 30; N2E
1029401340030; DUCTOGERON; DUCTOGERON; NOT FOUND; 75 MG COM CT BL AL PLAS INC X 30; N2E
1029401260015; DUAPETITE; DUAPETITE; NOT FOUND; XPE (VD C/240ML); N2E
1029401300017; DUCTOVERAN; DUCTOVERAN; NOT FOUND; SOL OR CT 01 FR VD AMB GOT X 25 ML; N2E
1029401390016; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ ML ELX CT FR VD AMB X 120 ML + CP MED; N2E
1029401100018; DEXA-COMPLEX; DEXA COMPLEX; NOT FOUND; COMP REV (CX C/2 BL C/10); N2E
1029400910016; DICLOF. DE SÓDIO; DICLOF SODIO; NOT FOUND; INJ 75MG (CX C/5 AMP C/3ML); N2E
1029400910024; DICLOF. DE SÓDIO; DICLOF SODIO; NOT FOUND; INJ 25MG/ML (CX C/50 AMP C/3ML); N2E
1029400680061; DICLONACO; DICLONACO; NOT FOUND; 75 MG SOL INJ CT 5 AMP VD AMB X 3 ML; N2E
1029400680071; DICLONACO; DICLONACO; NOT FOUND; INJ 75MG (CX C/50 AMP C/3ML); N2E
1029400680053; DICLONACO; DICLONACO; NOT FOUND; 50 MG COM REV CT 25 BL AL PLAS INC X 20 (EMB. HOSP.); N2E
1029400680045; DICLONACO; DICLONACO; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; N2E
1029400890015; DIPIRONA; DIPIRONA; DIPIRONA; INJ 500MG/ML (CX C/50 AMP C/2ML); N2E
1029400590046; DORONA; DORONA; NOT FOUND;  500 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML; N2E
1029400880011; DIPIRONA; DIPIRONA; DIPIRONA; SODICA SOL ORAL GTS 500MG/ML (FR C/10ML); N2E
1029400590097; DORONA; DORONA; NOT FOUND; GOTAS 500MG/ML (CX C/50 FR C/10ML); N2E
1029400590062; DORONA; DORONA; NOT FOUND; GTS 500MG/ML (CX C/50 FR C/20ML); N2E
1029400590070; DORONA; DORONA; NOT FOUND; GTS 500MG/ML (FR C/10ML); N2E
1029400590054; DORONA; DORONA; NOT FOUND; GTS 500MG/ML (FR C/20ML); N2E
1029400590089; DORONA; DORONA; NOT FOUND; 500 MG COM CT 25 BL AL PLAS INC X 4; N2E
1029400960056; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 1.500.000UI PO LIOF. (CX C/1 FRC/AMP); N2E
1029400960064; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 1.500.000UI PO LIOF. (CX C/50 FRC/AMP); N2E
1029400960013; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 250.000UI PO LIOF. (CX C/1 FRC/AMP); N2E
1029400960021; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 250.000UI PO LIOF. (CX C/50 FRC/AMP); N2E
1029400960031; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 750.000UI PO LIOF. (CX C/1 FRC/AMP); N2E
1029400960048; DUCTOQUINASE; DUCTOQUINASE; NOT FOUND; INJ 750.000UI PO LIOF. (CX C/50 FRC/AMP); N2E
1029400840018; DIURETIL; DIURETIL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20 01; N2E
1029400840026; DIURETIL; DIURETIL; NOT FOUND; COMP (CX C/3 BL C/20); N2E
1029401110031; DUCTOGEL; DUCTOGEL; NOT FOUND; 61.95 MG/ML SUS OR CT FR VD AMB X 150 ML; N2E
1029401110013; DUCTOGEL; DUCTOGEL; NOT FOUND; SUSP (VD C/200ML); N2E
1029401110048; DUCTOGEL; DUCTOGEL; NOT FOUND; SUSP (VD C/240ML); N2E
1029401110021; DUCTOGEL; DUCTOGEL; NOT FOUND; SUSP (VD C/100ML); N2E
1029401110056; DUCTOGEL; DUCTOGEL; NOT FOUND; COMP 300MG (CX C/02 ENV C/12); N2E
1029401110072; DUCTOGEL; DUCTOGEL; NOT FOUND; 300 MG COM CT BL AL PLAS INC X 24; N2E
1029401110064; DUCTOGEL; DUCTOGEL; NOT FOUND; COMP 300MG (CX C/05 ENV C/10); N2E
1029401200012; DILUENTE ESTÉRIL; DILUENTE ESTERIL; NOT FOUND; INJ (CX C/100 AMP C/10ML); N2E
1029401200039; DILUENTE ESTÉRIL; DILUENTE ESTERIL; NOT FOUND; INJ (CX C/100 AMP C/2ML); N2E
1029401200020; DILUENTE ESTÉRIL; DILUENTE ESTERIL; NOT FOUND; INJ (CX C/100 AMP C/5ML); N2E
1029400800024; DUCTELMIN; DUCTELMIN; NOT FOUND; 100 MG/ 5 ML SUS OR CT FR VD AMB X 30 ML; N2E
1029400800016; DUCTELMIN; DUCTELMIN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 6; N2E
1029400660052; DUCTOMET; DUCTOMET; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 30; N2E
1029400660036; DUCTOMET; DUCTOMET; NOT FOUND; 250 MG COM CT BL AL PLAS INC X 30; N2E
1029400660044; DUCTOMET; DUCTOMET; NOT FOUND; COMP REV 250MG (CX C/50 BL C/10); N2E
1029400660060; DUCTOMET; DUCTOMET; NOT FOUND; COMP REV 500MG (CX C/50 BL C/10); N2E
