1029400650057; NEOCOPAN; NEOCOPAN; NOT FOUND; INJ (CX C/03 AMP C/5ML); N2E
1029400650065; NEOCOPAN; NEOCOPAN; NOT FOUND; 4 MG/ML + 500 MG/ML SOL INJ CT 50 AMP VD AMB X 5 ML; N2E
1029400650049; NEOCOPAN; NEOCOPAN; NOT FOUND; 6.667 MG/ML + 333.4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; N2E
1029400650014; NEOCOPAN; NEOCOPAN; NOT FOUND; DGS (CX C/01 BL C/10); N2E
1029400650030; NEOCOPAN; NEOCOPAN; NOT FOUND; DGS (CX C/05 BL C/10); N2E
1029400650022; NEOCOPAN; NEOCOPAN; NOT FOUND; 10 MG + 250 MG DRG CT 2 BL AL PLAS INC X 10; N2E
1029400690016; NORONAL; NORONAL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; N2E
1029401410017; NIMESULIDA; NIMESULIDA; NIMESULIDA; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML ; N2E
1029400600025; NISTANIL; NISTANIL; NOT FOUND; SOL ORAL 100.000UI/ML (VD C/50ML); N2E
1029401000013; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; N2E
1029401460014; NISTATINA; NISTATINA; NISTATINA; 25.000 U.I./ G CREM VAG CT BG AL X 60 G + 14 APLIC; N2E
