501504401114110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 10, ATX
501504402110119, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT BL AL PLAS INC X 25, ATX
501504403117117, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT FR PLAS OPC X 10, ATX
501504404113115, ACICLOVIR, ACICLOVIR, ACICLOVIR, 200 MG COM CT FR PLAS OPC X 25, ATX
501500101116115, ALOPURINOL, ALOPURINOL, ALOPURINOL, COMP. 300MG CX 3 BL AL PLASTICO X 10, ATX
501500201110119, ALPRAZOLAM , ALPRAZOLAM, ALPRAZOLAM, COMP. 0.25MG FR PLASTICO X 20, ATX
501500202117117, ALPRAZOLAM , ALPRAZOLAM, ALPRAZOLAM, COMP. 0.5MG FR PLASTICO X 20, ATX
501500203113115, ALPRAZOLAM , ALPRAZOLAM, ALPRAZOLAM, COMP. 1.0MG FR PLASTICO X 20, ATX
501500303118119, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 mg cap gel dura ct bl al plas inc x 21, ATX
501500304114117, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 mg cap gel dura ct fr plas opc x 21, ATX
501500302111110, AMOXICILINA, AMOXICILINA, AMOXICILINA, CPS 500MG CX 3BL X 7, ATX
501500301131118, AMOXICILINA, AMOXICILINA, AMOXICILINA, PO SUSP.ORAL 250MG/5ML FR PLASTICO 150 ML, ATX
501503902111116, ATENOLOL, ATENOLOL, ATENOLOL, 100 MG CVOM REV CT BL AL PLAS INC X 30, ATX
501503901113115, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM REV CT BL AL PLAS INC X 30, ATX
